DATA;ORA;LIVELLO IDROMETRICO;TEMPERATURA ACQUA;TEMPERATURA ARIA;UMIDITÀ RELATIVA;PRESSIONE ATMOSFERICA;DIREZIONE VENTO;VELOCITÀ VENTO
2025-02-01;08:50;-0,267;;9,9;88;;130;2,2
2025-02-01;09:00;-0,313;12,2;9,8;87;1026,5;154;2,1
2025-02-01;09:10;-0,295;;10,4;88;;148;2,2
2025-02-01;09:20;-0,332;;10,6;87;;155;2
2025-02-01;09:30;-0,337;;10,9;86;;147;2,1
2025-02-01;09:40;-0,349;;11,1;86;;139;2
2025-02-01;09:50;-0,345;;11,3;86;;127;1,9
2025-02-01;10:00;-0,369;12,2;10,9;87;1026,4;118;2
2025-02-01;10:10;-0,351;;11,6;86;;122;2,2
2025-02-01;10:20;-0,378;;11,7;86;;128;2,3
2025-02-01;10:30;-0,382;;11,9;87;;128;2,3
2025-02-01;10:40;-0,358;;12;87;;125;2,7
2025-02-01;10:50;-0,398;;12;87;;126;2,9
2025-02-01;11:00;-0,364;12,2;11,8;87;1025,9;125;2,7
2025-02-01;11:10;-0,373;;12,1;87;;122;2,7
2025-02-01;11:20;-0,394;;12,3;87;;122;2,1
2025-02-01;11:30;-0,36;;12,3;87;;117;2,6
2025-02-01;11:40;-0,392;;12,4;87;;124;2,5
2025-02-01;11:50;-0,371;;12,4;87;;131;3,4
2025-02-01;12:00;-0,366;12,3;12,3;87;1025;129;3,9
2025-02-01;12:10;-0,353;;12,5;86;;124;4,1
2025-02-01;12:20;-0,335;;12,7;86;;128;4,6
2025-02-01;12:30;-0,35;;12,9;85;;126;5,1
2025-02-01;12:40;-0,308;;12,8;86;;114;4,7
2025-02-01;12:50;-0,329;;12,8;87;;111;4,4
2025-02-01;13:00;-0,318;12,3;12,7;86;1024;117;4,4
2025-02-01;13:10;-0,29;;13,1;87;;125;4,7
2025-02-01;13:20;-0,304;;13,3;86;;130;4
2025-02-01;13:30;-0,287;;13,2;86;;124;4,4
2025-02-01;13:40;-0,269;;13,2;86;;126;5,2
2025-02-01;13:50;-0,254;;13,2;87;;130;6
2025-02-01;14:00;-0,215;12,4;13,2;86;1023,5;129;5,5
2025-02-01;14:10;-0,219;;13,1;88;;130;5,3
2025-02-01;14:20;-0,221;;13,1;88;;131;4,9
2025-02-01;14:30;-0,188;;13,2;87;;129;5,1
2025-02-01;14:40;-0,183;;13,3;86;;134;5,9
2025-02-01;14:50;-0,168;;13,2;86;;130;6,3
2025-02-01;15:00;-0,151;12,3;13,2;87;1023,1;130;5,7
2025-02-01;15:10;-0,179;;13,2;86;;131;5,5
2025-02-01;15:20;-0,156;;13,2;85;;131;5,2
2025-02-01;15:30;-0,135;;13,2;85;;136;4,1
2025-02-01;15:40;-0,139;;13,2;84;;138;4,2
2025-02-01;15:50;-0,1;;13,2;84;;138;4,3
2025-02-01;16:00;-0,109;12,3;13,2;85;1023;144;4
2025-02-01;16:10;-0,099;;13,1;84;;146;3,6
2025-02-01;16:20;-0,114;;13;85;;137;3,4
2025-02-01;16:30;-0,117;;12,9;86;;138;3,4
2025-02-01;16:40;-0,115;;12,8;86;;144;3,2
2025-02-01;16:50;-0,097;;12,7;87;;146;3,4
2025-02-01;17:00;-0,11;12,3;12,9;86;1023;141;3,4
2025-02-01;17:10;-0,1;;12,5;86;;142;3,3
2025-02-01;17:20;-0,104;;12,5;87;;140;3,2
2025-02-01;17:30;-0,106;;12,4;87;;142;3,3
2025-02-01;17:40;-0,123;;12,4;86;;146;3,1
2025-02-01;17:50;-0,127;;12,4;86;;159;2,3
2025-02-01;18:00;-0,127;12,2;12,5;87;1023;135;2,1
2025-02-01;18:10;-0,131;;12,2;87;;134;2,2
2025-02-01;18:20;-0,125;;12,3;87;;148;2
2025-02-01;18:30;-0,175;;12,5;86;;142;1,6
