DATA;ORA;LIVELLO IDROMETRICO;TEMPERATURA ACQUA;TEMPERATURA ARIA;UMIDITÀ RELATIVA;PRESSIONE ATMOSFERICA;DIREZIONE VENTO;VELOCITÀ VENTO
2024-04-01;00:00;-0,008;15,2;16,7;63;1012,4;185;6,5
2024-04-01;00:10;-0,011;;;;;188;7,2
2024-04-01;00:20;0,029;;;;;186;6,6
2024-04-01;00:30;-0,002;;;;;188;7
2024-04-01;00:40;0,011;;;;;189;7,4
2024-04-01;00:50;0,001;;;;;184;6,7
2024-04-01;01:00;0,031;15,2;16,5;63;1011,9;185;6,4
2024-04-01;01:10;0,02;;;;;184;7
2024-04-01;01:20;0,061;;;;;181;7,2
2024-04-01;01:30;0,004;;;;;182;7,1
2024-04-01;01:40;0,021;;;;;184;6,8
2024-04-01;01:50;0,041;;;;;182;6,2
2024-04-01;02:00;0,028;15,2;16,5;63;1011,4;179;6,1
2024-04-01;02:10;0,049;;;;;176;6,6
2024-04-01;02:20;0,054;;;;;175;6
2024-04-01;02:30;0,04;;;;;163;5,6
2024-04-01;02:40;0,061;;;;;140;4,4
2024-04-01;02:50;-0,003;;;;;140;3,7
2024-04-01;03:00;0,071;15,2;16,6;63;1011,7;153;4
2024-04-01;03:10;0,03;;;;;154;3,6
2024-04-01;03:20;0,063;;;;;165;3,5
2024-04-01;03:30;0,01;;;;;165;4,4
2024-04-01;03:40;0,018;;;;;164;5
2024-04-01;03:50;0,092;;;;;164;4,8
2024-04-01;04:00;0,011;15,2;16,5;63;1011,6;162;5,1
2024-04-01;04:10;0,032;;;;;155;5,4
2024-04-01;04:20;0,055;;;;;159;4,4
2024-04-01;04:30;-0,006;;;;;158;4,6
2024-04-01;04:40;0,083;;;;;162;5,6
2024-04-01;04:50;0,031;;;;;162;7
2024-04-01;05:00;0,033;15,2;16,7;64;1011,4;162;6,7
2024-04-01;05:10;0,059;;;;;160;6,6
2024-04-01;05:20;-0,004;;;;;159;6,1
2024-04-01;05:30;0,028;;;;;159;7,1
2024-04-01;05:40;0,019;;;;;156;6,7
2024-04-01;05:50;0,029;;;;;162;7,3
2024-04-01;06:00;0,045;15,2;17,2;65;1011,1;167;9,2
2024-04-01;06:10;0,029;;;;;160;10,6
2024-04-01;06:20;-0,02;;;;;167;10,1
2024-04-01;06:30;0,016;;;;;161;9,9
2024-04-01;06:40;0,037;;;;;180;7
2024-04-01;06:50;-0,009;;;;;183;6,2
2024-04-01;07:00;0,032;15,2;17,8;65;1011,3;179;4,9
2024-04-01;07:10;-0,007;;;;;176;4,9
2024-04-01;07:20;-0,005;;;;;174;4,5
2024-04-01;07:30;0,021;;;;;173;4,8
2024-04-01;07:40;0,011;;;;;178;4,7
2024-04-01;07:50;0,025;;;;;175;4,5
2024-04-01;08:00;-0,013;15,2;18,7;66;1011,2;171;4,2
2024-04-01;08:10;0,033;;;;;168;4,3
2024-04-01;08:20;0,022;;;;;166;4,5
2024-04-01;08:30;-0,002;;;;;165;3,8
2024-04-01;08:40;0,003;;;;;160;4,6
2024-04-01;08:50;-0,023;;;;;160;4,4
2024-04-01;09:00;0,03;15,2;19,7;65;1011,5;174;3,6
2024-04-01;09:10;-0,001;;;;;169;4,2
2024-04-01;09:20;0,001;;;;;176;3,8
2024-04-01;09:30;0,025;;;;;156;4,6
2024-04-01;09:40;-0,016;;;;;170;3,9
2024-04-01;09:50;0,054;;;;;168;4,7
2024-04-01;10:00;0,012;15,2;20,3;64;1011,1;164;4,1
2024-04-01;10:10;-0,03;;;;;173;3,7
2024-04-01;10:20;0,044;;;;;171;3,6
2024-04-01;10:30;0,03;;;;;155;4,8
2024-04-01;10:40;-0,008;;;;;155;4,2
2024-04-01;10:50;0,037;;;;;155;4,3
2024-04-01;11:00;0,011;15,2;21,4;61;1010,5;150;4,6
2024-04-01;11:10;0,009;;;;;157;3,6
2024-04-01;11:20;0,046;;;;;174;3,3
2024-04-01;11:30;-0,024;;;;;158;3,5
2024-04-01;11:40;0,063;;;;;159;3,7
2024-04-01;11:50;0,033;;;;;155;3,9
2024-04-01;12:00;0,031;15,2;21,4;62;1010;161;2,7
2024-04-01;12:10;0,041;;;;;167;3,1
2024-04-01;12:20;0,04;;;;;177;3,1
2024-04-01;12:30;0,034;;;;;168;5,2
2024-04-01;12:40;0,059;;;;;164;6,8
2024-04-01;12:50;0,109;;;;;168;7
2024-04-01;13:00;0,015;15,3;21,8;61;1009,2;159;5,9
2024-04-01;13:10;0,086;;;;;170;5,1
2024-04-01;13:20;0,066;;;;;160;7,1
2024-04-01;13:30;0,121;;;;;168;8,7
2024-04-01;13:40;0,089;;;;;162;8,7
2024-04-01;13:50;0,078;;;;;168;8,9
2024-04-01;14:00;0,113;15,3;22;61;1008,1;166;8,8
2024-04-01;14:10;0,092;;;;;160;9,8
2024-04-01;14:20;0,123;;;;;158;10,3
2024-04-01;14:30;0,148;;;;;159;10,4
2024-04-01;14:40;0,126;;;;;159;9,8
2024-04-01;14:50;0,133;;;;;162;8,4
2024-04-01;15:00;0,153;15,3;22,1;61;1007,1;160;8,5
2024-04-01;15:10;0,157;;;;;157;8,8
2024-04-01;15:20;0,165;;;;;162;9,3
