DATA;ORA;LIVELLO IDROMETRICO;TEMPERATURA ACQUA;TEMPERATURA ARIA;UMIDITÀ RELATIVA;PRESSIONE ATMOSFERICA;DIREZIONE VENTO;VELOCITÀ VENTO
2024-02-01;00:00;-0,352;11,8;6,3;71;1030,9;227;2,7
2024-02-01;00:10;-0,361;;;;;234;2,2
2024-02-01;00:20;-0,324;;;;;233;2,6
2024-02-01;00:30;-0,358;;;;;230;2,8
2024-02-01;00:40;-0,336;;;;;228;2,8
2024-02-01;00:50;-0,33;;;;;231;2,8
2024-02-01;01:00;-0,315;11,9;6,4;70;1030,7;238;2,7
2024-02-01;01:10;-0,325;;;;;241;2,5
2024-02-01;01:20;-0,299;;;;;254;2,1
2024-02-01;01:30;-0,32;;;;;252;2,6
2024-02-01;01:40;-0,275;;;;;234;2,9
2024-02-01;01:50;-0,293;;;;;237;2,8
2024-02-01;02:00;-0,307;11,8;5,9;70;1030,3;236;2,7
2024-02-01;02:10;-0,254;;;;;239;2,5
2024-02-01;02:20;-0,292;;;;;236;2,6
2024-02-01;02:30;-0,245;;;;;242;2,3
2024-02-01;02:40;-0,254;;;;;239;2,5
2024-02-01;02:50;-0,257;;;;;223;2,7
2024-02-01;03:00;-0,241;11,8;6;69;1029,7;222;2,7
2024-02-01;03:10;-0,235;;;;;221;2,6
2024-02-01;03:20;-0,218;;;;;219;2,6
2024-02-01;03:30;-0,219;;;;;220;2,7
2024-02-01;03:40;-0,225;;;;;222;2,8
2024-02-01;03:50;-0,207;;;;;223;2,3
2024-02-01;04:00;-0,23;11,8;5,3;70;1029,4;233;2,4
2024-02-01;04:10;-0,22;;;;;245;2,3
2024-02-01;04:20;-0,194;;;;;243;2,2
2024-02-01;04:30;-0,222;;;;;229;2,6
2024-02-01;04:40;-0,197;;;;;227;2,4
2024-02-01;04:50;-0,195;;;;;229;2,3
2024-02-01;05:00;-0,195;11,8;5,7;70;1029;235;2
2024-02-01;05:10;-0,19;;;;;224;2,2
2024-02-01;05:20;-0,197;;;;;223;2,2
2024-02-01;05:30;-0,197;;;;;221;2,2
2024-02-01;05:40;-0,212;;;;;221;2,6
2024-02-01;05:50;-0,201;;;;;222;2,9
2024-02-01;06:00;-0,206;11,8;5,7;70;1029,1;218;2,6
2024-02-01;06:10;-0,205;;;;;218;2,6
2024-02-01;06:20;-0,191;;;;;218;2,2
2024-02-01;06:30;-0,241;;;;;223;2,4
2024-02-01;06:40;-0,212;;;;;220;2,3
2024-02-01;06:50;-0,23;;;;;223;2,4
2024-02-01;07:00;-0,236;11,8;5,9;70;1029,3;221;2,5
2024-02-01;07:10;-0,227;;;;;226;2,3
2024-02-01;07:20;-0,261;;;;;226;2,2
2024-02-01;07:30;-0,259;;;;;227;1,9
2024-02-01;07:40;-0,27;;;;;223;1,9
2024-02-01;07:50;-0,269;;;;;227;2,4
2024-02-01;08:00;-0,284;11,8;7,4;70;1029,6;246;2,1
2024-02-01;08:10;-0,271;;;;;233;2,3
2024-02-01;08:20;-0,306;;;;;240;2,1
2024-02-01;08:30;-0,292;;;;;246;2
2024-02-01;08:40;-0,305;;;;;242;2,2
2024-02-01;08:50;-0,336;;;;;245;2,4
2024-02-01;09:00;-0,328;11,8;9,5;70;1029,6;258;2,7
2024-02-01;09:10;-0,34;;;;;264;3
2024-02-01;09:20;-0,35;;;;;279;4,1
2024-02-01;09:30;-0,349;;;;;271;3,4
2024-02-01;09:40;-0,356;;;;;271;3
2024-02-01;09:50;-0,36;;;;;277;2,6
2024-02-01;10:00;-0,372;11,8;10,2;68;1029,1;291;2,7
2024-02-01;10:10;-0,398;;;;;304;2,7
2024-02-01;10:20;-0,374;;;;;303;2,9
2024-02-01;10:30;-0,412;;;;;302;2,5
2024-02-01;10:40;-0,374;;;;;302;2,4
2024-02-01;10:50;-0,401;;;;;305;3
2024-02-01;11:00;-0,402;11,8;10,6;68;1028,2;296;3,2
2024-02-01;11:10;-0,38;;;;;290;4,2
2024-02-01;11:20;-0,434;;;;;295;4,9
2024-02-01;11:30;-0,387;;;;;291;4,9
2024-02-01;11:40;-0,385;;;;;298;4,8
2024-02-01;11:50;-0,424;;;;;303;4,2
2024-02-01;12:00;-0,379;11,8;11,3;68;1027,5;302;4,2
2024-02-01;12:10;-0,419;;;;;306;3,7
2024-02-01;12:20;-0,394;;;;;311;3,6
2024-02-01;12:30;-0,404;;;;;318;3,5
2024-02-01;12:40;-0,396;;;;;320;3,4
2024-02-01;12:50;-0,373;;;;;323;3,2
2024-02-01;13:00;-0,398;11,8;11,6;68;1026,6;319;3
2024-02-01;13:10;-0,368;;;;;324;2,6
2024-02-01;13:20;-0,366;;;;;326;2,1
2024-02-01;13:30;-0,374;;;;;328;1,8
2024-02-01;13:40;-0,352;;;;;343;2,1
2024-02-01;13:50;-0,388;;;;;346;1,8
2024-02-01;14:00;-0,357;11,8;11,9;68;1026,1;0;1,4
2024-02-01;14:10;-0,345;;;;;354;1,3
2024-02-01;14:20;-0,351;;;;;356;1,1
2024-02-01;14:30;-0,309;;;;;9;1,2
2024-02-01;14:40;-0,358;;;;;29;1,6
