DATA;ORA;LIVELLO IDROMETRICO;TEMPERATURA ACQUA;TEMPERATURA ARIA;UMIDITÀ RELATIVA;PRESSIONE ATMOSFERICA;DIREZIONE VENTO;VELOCITÀ VENTO
2024-01-01;00:00;-0,151;13,6;12,4;68;1016,7;176;4,7
2024-01-01;00:10;-0,156;;;;;176;4,7
2024-01-01;00:20;-0,159;;;;;178;4,6
2024-01-01;00:30;-0,118;;;;;175;4,6
2024-01-01;00:40;-0,167;;;;;174;5,1
2024-01-01;00:50;-0,083;;;;;178;4,7
2024-01-01;01:00;-0,155;13,6;12,2;69;1016,3;186;3,9
2024-01-01;01:10;-0,093;;;;;185;4,1
2024-01-01;01:20;-0,059;;;;;179;4,8
2024-01-01;01:30;-0,11;;;;;185;3,7
2024-01-01;01:40;-0,053;;;;;181;3,9
2024-01-01;01:50;-0,063;;;;;176;4,6
2024-01-01;02:00;-0,048;13,6;12,5;69;1016;186;3,9
2024-01-01;02:10;-0,026;;;;;190;4,2
2024-01-01;02:20;-0,046;;;;;180;3,9
2024-01-01;02:30;-0,002;;;;;191;4,1
2024-01-01;02:40;0,01;;;;;198;3,8
2024-01-01;02:50;-0,011;;;;;192;3,9
2024-01-01;03:00;0,039;13,6;12,5;69;1015,8;190;4,1
2024-01-01;03:10;0,02;;;;;186;3,9
2024-01-01;03:20;0,015;;;;;188;4,1
2024-01-01;03:30;0,062;;;;;180;4,3
2024-01-01;03:40;0,034;;;;;179;5,3
2024-01-01;03:50;0,067;;;;;179;4,5
2024-01-01;04:00;0,058;13,5;13;69;1015,3;185;4,7
2024-01-01;04:10;0,077;;;;;180;4,4
2024-01-01;04:20;0,063;;;;;182;4,6
2024-01-01;04:30;0,048;;;;;179;4,5
2024-01-01;04:40;0,08;;;;;183;4,3
2024-01-01;04:50;0,098;;;;;177;4,7
2024-01-01;05:00;0,064;13,5;13,2;69;1015,1;177;5,3
2024-01-01;05:10;0,077;;;;;175;5,8
2024-01-01;05:20;0,101;;;;;174;6
2024-01-01;05:30;0,068;;;;;175;5,9
2024-01-01;05:40;0,087;;;;;172;5,4
2024-01-01;05:50;0,067;;;;;171;4,7
2024-01-01;06:00;0,076;13,5;12,8;69;1015;168;4,8
2024-01-01;06:10;0,045;;;;;170;5,4
2024-01-01;06:20;0,052;;;;;171;5,5
2024-01-01;06:30;0,09;;;;;172;5,3
2024-01-01;06:40;0,037;;;;;169;4,4
2024-01-01;06:50;0,047;;;;;177;5
2024-01-01;07:00;0,052;13,5;12,6;69;1015;176;4,8
2024-01-01;07:10;0,014;;;;;175;4,4
2024-01-01;07:20;0,032;;;;;167;4,8
2024-01-01;07:30;-0,003;;;;;166;4,4
2024-01-01;07:40;-0,003;;;;;172;4,2
2024-01-01;07:50;0,018;;;;;173;4,1
2024-01-01;08:00;-0,031;13,5;13;69;1015,2;177;4
2024-01-01;08:10;-0,015;;;;;176;3,4
2024-01-01;08:20;-0,052;;;;;179;2,9
2024-01-01;08:30;-0,057;;;;;172;3,2
2024-01-01;08:40;-0,065;;;;;171;2,9
2024-01-01;08:50;-0,08;;;;;180;2,6
2024-01-01;09:00;-0,054;13,5;14;69;1015,5;187;2,5
2024-01-01;09:10;-0,06;;;;;197;2,2
2024-01-01;09:20;-0,105;;;;;191;1,7
2024-01-01;09:30;-0,084;;;;;194;2,1
2024-01-01;09:40;-0,134;;;;;219;3,8
2024-01-01;09:50;-0,106;;;;;218;3,5
2024-01-01;10:00;-0,131;13,5;16,5;64;1015,1;211;3,2
2024-01-01;10:10;-0,164;;;;;212;2,8
2024-01-01;10:20;-0,105;;;;;209;2,8
2024-01-01;10:30;-0,181;;;;;177;3,8
2024-01-01;10:40;-0,151;;;;;184;3,8
2024-01-01;10:50;-0,164;;;;;179;4,4
