DATA;ORA;LIVELLO IDROMETRICO;TEMPERATURA ACQUA;TEMPERATURA ARIA;UMIDITÀ RELATIVA;PRESSIONE ATMOSFERICA;DIREZIONE VENTO;VELOCITÀ VENTO
2024-06-01;00:00;-0,025;20,4;22,3;64;1010,8;187;3,2
2024-06-01;00:10;-0,071;;;;;183;2,6
2024-06-01;00:20;-0,072;;;;;189;3,2
2024-06-01;00:30;-0,079;;;;;186;3,6
2024-06-01;00:40;-0,117;;;;;187;3,3
2024-06-01;00:50;-0,091;;;;;185;4,1
2024-06-01;01:00;-0,106;20,4;22,9;57;1011;179;3,6
2024-06-01;01:10;-0,101;;;;;190;2,9
2024-06-01;01:20;-0,093;;;;;207;3,2
2024-06-01;01:30;-0,174;;;;;203;4,2
2024-06-01;01:40;-0,132;;;;;204;4,3
2024-06-01;01:50;-0,145;;;;;203;4
2024-06-01;02:00;-0,176;20,4;22,9;52;1011,2;201;3,4
2024-06-01;02:10;-0,138;;;;;203;3,5
2024-06-01;02:20;-0,194;;;;;197;3,4
2024-06-01;02:30;-0,164;;;;;189;3,5
2024-06-01;02:40;-0,17;;;;;193;3
2024-06-01;02:50;-0,186;;;;;188;2,9
2024-06-01;03:00;-0,19;20,4;22,5;52;1011,8;197;2,3
2024-06-01;03:10;-0,199;;;;;292;1,5
2024-06-01;03:20;-0,232;;;;;321;0,5
2024-06-01;03:30;-0,217;;;;;133;0,7
2024-06-01;03:40;-0,241;;;;;113;1,2
2024-06-01;03:50;-0,18;;;;;105;2,3
2024-06-01;04:00;-0,225;20,4;21,6;63;1012,6;109;2,5
2024-06-01;04:10;-0,242;;;;;132;2,4
2024-06-01;04:20;-0,204;;;;;144;2,1
2024-06-01;04:30;-0,271;;;;;173;1,5
2024-06-01;04:40;-0,22;;;;;174;2
2024-06-01;04:50;-0,218;;;;;201;1,1
2024-06-01;05:00;-0,266;20,3;23;53;1013;231;0,9
2024-06-01;05:10;-0,204;;;;;192;0,4
2024-06-01;05:20;-0,266;;;;;207;0,6
2024-06-01;05:30;-0,233;;;;;117;1,6
2024-06-01;05:40;-0,221;;;;;85;1,4
2024-06-01;05:50;-0,223;;;;;118;0,8
2024-06-01;06:00;-0,234;19,9;22,5;57;1013,7;117;0,8
2024-06-01;06:10;-0,219;;;;;275;1,1
2024-06-01;06:20;-0,22;;;;;223;1,1
2024-06-01;06:30;-0,21;;;;;274;1,1
2024-06-01;06:40;-0,2;;;;;249;1,4
2024-06-01;06:50;-0,209;;;;;221;1,6
2024-06-01;07:00;-0,162;19,7;22;63;1014,9;197;1,7
2024-06-01;07:10;-0,192;;;;;151;1,9
2024-06-01;07:20;-0,153;;;;;141;3,9
2024-06-01;07:30;-0,154;;;;;159;2,9
2024-06-01;07:40;-0,131;;;;;175;3
2024-06-01;07:50;-0,151;;;;;194;2,9
2024-06-01;08:00;-0,109;19,5;22,7;63;1015;196;3,2
2024-06-01;08:10;-0,14;;;;;205;2,1
