DATA;ORA;LIVELLO IDROMETRICO;TEMPERATURA ACQUA;TEMPERATURA ARIA;UMIDITÀ RELATIVA;PRESSIONE ATMOSFERICA;DIREZIONE VENTO;VELOCITÀ VENTO
2024-05-01;00:00;-0,068;17,9;17,8;65;1013,1;109;3,3
2024-05-01;00:10;-0,117;;;;;105;3,7
2024-05-01;00:20;-0,132;;;;;113;3,7
2024-05-01;00:30;-0,079;;;;;110;3,9
2024-05-01;00:40;-0,165;;;;;113;3,8
2024-05-01;00:50;-0,117;;;;;117;3,2
2024-05-01;01:00;-0,098;17,9;17,3;65;1012,7;116;3,3
2024-05-01;01:10;-0,157;;;;;115;3,1
2024-05-01;01:20;-0,078;;;;;114;2,8
2024-05-01;01:30;-0,191;;;;;97;2,7
2024-05-01;01:40;-0,141;;;;;148;4,5
2024-05-01;01:50;-0,137;;;;;155;5
2024-05-01;02:00;-0,173;17,9;19,1;51;1012,4;153;5,6
2024-05-01;02:10;-0,086;;;;;149;5,9
2024-05-01;02:20;-0,178;;;;;144;5,9
2024-05-01;02:30;-0,155;;;;;145;4,9
2024-05-01;02:40;-0,124;;;;;140;4,6
2024-05-01;02:50;-0,197;;;;;145;4,7
2024-05-01;03:00;-0,123;17,9;18,8;52;1011,9;143;3,5
2024-05-01;03:10;-0,16;;;;;123;3
2024-05-01;03:20;-0,173;;;;;114;2,9
2024-05-01;03:30;-0,158;;;;;123;2
2024-05-01;03:40;-0,179;;;;;113;2,2
2024-05-01;03:50;-0,159;;;;;116;2,5
2024-05-01;04:00;-0,156;17,8;17,8;58;1011,9;117;2,8
2024-05-01;04:10;-0,174;;;;;125;2,4
2024-05-01;04:20;-0,192;;;;;129;2,6
2024-05-01;04:30;-0,187;;;;;112;3,7
2024-05-01;04:40;-0,172;;;;;117;4,1
2024-05-01;04:50;-0,183;;;;;121;4
2024-05-01;05:00;-0,158;17,8;17,8;64;1011,8;126;2
2024-05-01;05:10;-0,205;;;;;112;3
2024-05-01;05:20;-0,159;;;;;105;3,5
2024-05-01;05:30;-0,179;;;;;112;2,9
2024-05-01;05:40;-0,172;;;;;105;2,7
2024-05-01;05:50;-0,157;;;;;126;3,5
2024-05-01;06:00;-0,193;17,8;18,5;64;1011,6;115;3,7
2024-05-01;06:10;-0,161;;;;;117;4,9
2024-05-01;06:20;-0,172;;;;;123;5,3
2024-05-01;06:30;-0,177;;;;;124;6,2
2024-05-01;06:40;-0,156;;;;;126;7,1
2024-05-01;06:50;-0,175;;;;;126;7,3
2024-05-01;07:00;-0,142;17,8;18,7;65;1011,1;132;6,1
2024-05-01;07:10;-0,173;;;;;138;5,4
2024-05-01;07:20;-0,181;;;;;140;6
2024-05-01;07:30;-0,123;;;;;142;5,1
2024-05-01;07:40;-0,17;;;;;140;4,7
2024-05-01;07:50;-0,149;;;;;141;4,4
2024-05-01;08:00;-0,134;17,8;22,9;45;1010,9;147;3,9
2024-05-01;08:10;-0,196;;;;;146;5,5
2024-05-01;08:20;-0,113;;;;;147;5,8
2024-05-01;08:30;-0,148;;;;;172;3,9
2024-05-01;08:40;-0,157;;;;;153;5,3
2024-05-01;08:50;-0,086;;;;;167;7,4
2024-05-01;09:00;-0,133;17,8;23,3;39;1010,9;147;8,7
2024-05-01;09:10;-0,132;;;;;148;9,7
2024-05-01;09:20;-0,126;;;;;154;8,1
2024-05-01;09:30;-0,141;;;;;146;8,5
2024-05-01;09:40;-0,096;;;;;151;9,9
2024-05-01;09:50;-0,103;;;;;160;8,3
2024-05-01;10:00;-0,105;17,8;23,5;42;1010,6;161;10
2024-05-01;10:10;-0,116;;;;;150;9,9
2024-05-01;10:20;-0,113;;;;;144;11
2024-05-01;10:30;-0,082;;;;;143;11
2024-05-01;10:40;-0,093;;;;;148;10,9
2024-05-01;10:50;-0,102;;;;;150;11,4
2024-05-01;11:00;-0,099;17,8;23,7;43;1010;153;11,7
2024-05-01;11:10;-0,115;;;;;155;11,4
2024-05-01;11:20;-0,084;;;;;162;9,2
2024-05-01;11:30;-0,078;;;;;162;9,9
2024-05-01;11:40;-0,079;;;;;159;10,6
2024-05-01;11:50;-0,094;;;;;154;10,5
2024-05-01;12:00;-0,101;17,8;23,8;44;1009,5;153;11,2
2024-05-01;12:10;-0,064;;;;;151;9,6
2024-05-01;12:20;-0,104;;;;;146;11,2
2024-05-01;12:30;-0,092;;;;;158;9
2024-05-01;12:40;-0,086;;;;;152;9,2
2024-05-01;12:50;-0,064;;;;;145;11,5
2024-05-01;13:00;-0,099;17,8;23,9;45;1009;144;11
2024-05-01;13:10;-0,103;;;;;154;9,8
