DATA;ORA;LIVELLO IDROMETRICO;TEMPERATURA ACQUA;TEMPERATURA ARIA;UMIDITÀ RELATIVA;PRESSIONE ATMOSFERICA;DIREZIONE VENTO;VELOCITÀ VENTO
2024-03-01;00:00;-0,079;14,5;12,3;67;1006,4;122;4,4
2024-03-01;00:10;-0,122;;;;;124;3,6
2024-03-01;00:20;-0,149;;;;;116;3,5
2024-03-01;00:30;-0,135;;;;;115;4,1
2024-03-01;00:40;-0,112;;;;;126;4,1
2024-03-01;00:50;-0,123;;;;;131;3,1
2024-03-01;01:00;-0,043;14,5;12;65;1006,2;119;3,7
2024-03-01;01:10;-0,083;;;;;123;3,6
2024-03-01;01:20;-0,11;;;;;127;3,5
2024-03-01;01:30;-0,003;;;;;133;3,3
2024-03-01;01:40;-0,122;;;;;135;3,6
2024-03-01;01:50;-0,023;;;;;138;4,2
2024-03-01;02:00;-0,073;14,5;12;65;1005,9;140;4,6
2024-03-01;02:10;-0,055;;;;;140;4,4
2024-03-01;02:20;-0,03;;;;;144;3,3
2024-03-01;02:30;-0,001;;;;;137;3,3
2024-03-01;02:40;0,002;;;;;133;3,3
2024-03-01;02:50;-0,038;;;;;135;3,1
2024-03-01;03:00;0,015;14,5;12;65;1005,9;139;3,2
2024-03-01;03:10;-0,024;;;;;140;3,8
2024-03-01;03:20;0,025;;;;;144;4,4
2024-03-01;03:30;0,036;;;;;142;4,2
2024-03-01;03:40;0,013;;;;;141;4,6
2024-03-01;03:50;0,038;;;;;146;4,3
2024-03-01;04:00;0,05;14,5;11,5;66;1006,3;150;4,2
2024-03-01;04:10;0,015;;;;;155;4
2024-03-01;04:20;0,032;;;;;175;2,7
2024-03-01;04:30;0,091;;;;;175;2,1
2024-03-01;04:40;-0,013;;;;;182;2,6
2024-03-01;04:50;0,091;;;;;183;2,8
2024-03-01;05:00;0,05;14,5;10,9;68;1006,9;179;2,2
2024-03-01;05:10;0,005;;;;;179;2,9
2024-03-01;05:20;0,094;;;;;183;3
2024-03-01;05:30;-0,016;;;;;184;3
2024-03-01;05:40;0,054;;;;;189;1,8
2024-03-01;05:50;0,034;;;;;186;2
2024-03-01;06:00;-0,022;14,6;10,4;70;1007;184;2,2
2024-03-01;06:10;0,037;;;;;183;2,7
2024-03-01;06:20;0,022;;;;;181;2,3
2024-03-01;06:30;0,012;;;;;174;1,7
2024-03-01;06:40;0,006;;;;;183;2,6
2024-03-01;06:50;-0,037;;;;;186;2,3
2024-03-01;07:00;-0,029;14,6;11,6;69;1007,3;185;2,4
2024-03-01;07:10;-0,047;;;;;178;2,4
2024-03-01;07:20;-0,007;;;;;158;2,4
2024-03-01;07:30;-0,065;;;;;132;3,3
2024-03-01;07:40;-0,064;;;;;128;3
2024-03-01;07:50;-0,069;;;;;137;2
2024-03-01;08:00;-0,127;14,6;13,7;69;1007,8;128;2,5
2024-03-01;08:10;-0,027;;;;;119;3,7
2024-03-01;08:20;-0,126;;;;;126;3,9
2024-03-01;08:30;-0,156;;;;;147;4
2024-03-01;08:40;-0,112;;;;;157;3
2024-03-01;08:50;-0,194;;;;;154;3,1
2024-03-01;09:00;;14,5;15,5;60;1007,9;150;4,1
2024-03-01;09:10;-0,153;;;;;176;3,1
2024-03-01;09:20;-0,205;;;;;160;3,1
2024-03-01;09:30;-0,125;;;;;165;4,3
2024-03-01;09:40;-0,209;;;;;154;5,9
2024-03-01;09:50;-0,189;;;;;152;5,7
2024-03-01;10:00;-0,18;14,6;16;56;1007,8;153;5,2
2024-03-01;10:10;-0,192;;;;;155;5,5
2024-03-01;10:20;-0,22;;;;;154;5,7
2024-03-01;10:30;-0,177;;;;;172;4,8
2024-03-01;10:40;-0,241;;;;;171;4,5
2024-03-01;10:50;-0,254;;;;;161;5,1
2024-03-01;11:00;-0,176;14,6;16,8;53;1007,6;166;4,5
