DATA;ORA;LIVELLO IDROMETRICO;TEMPERATURA ACQUA;TEMPERATURA ARIA;UMIDITÀ RELATIVA;PRESSIONE ATMOSFERICA;DIREZIONE VENTO;VELOCITÀ VENTO
2025-01-31;08:50;0,282;;7,3;92;;207;1,2
2025-01-31;09:00;0,288;9,2;7,7;92;;199;1,7
2025-01-31;09:10;0,291;;7,8;92;;209;1,4
2025-01-31;09:20;0,312;;7,9;93;;201;1,7
2025-01-31;09:30;0,299;;8,4;90;;188;1,6
2025-01-31;09:40;0,308;;8,6;88;;166;1,6
2025-01-31;09:50;0,323;;8,6;87;;157;1
2025-01-31;10:00;0,306;9,2;8,6;88;;159;1,1
2025-01-31;10:10;0,305;;8,6;87;;147;1
2025-01-31;10:20;0,301;;8,7;87;;171;1
2025-01-31;10:30;0,29;;8,7;84;;173;0,8
2025-01-31;10:40;0,254;;8,9;84;;187;1,4
2025-01-31;10:50;;;8,8;85;;183;0,9
2025-01-31;11:00;0,225;9,3;8,9;86;;145;0,7
2025-01-31;11:10;0,21;;9;85;;174;0,8
2025-01-31;11:20;0,185;;9;86;;170;0,8
2025-01-31;11:30;0,173;;9,1;86;;162;1,1
2025-01-31;11:40;0,134;;9,1;87;;123;1
2025-01-31;11:50;0,114;;9;87;;78;1,4
2025-01-31;12:00;0,079;9,3;8,9;88;;49;2,3
2025-01-31;12:10;0,047;;8,6;88;;34;3
2025-01-31;12:20;0,029;;8,5;91;;34;1,7
2025-01-31;12:30;0;;8,4;91;;45;2,3
2025-01-31;12:40;0,002;;8,3;92;;43;3
2025-01-31;12:50;-0,031;;8,2;92;;52;3,5
2025-01-31;13:00;-0,072;9,3;8,3;93;;53;3,4
2025-01-31;13:10;-0,086;;8,3;93;;55;3,5
2025-01-31;13:20;-0,267;;8,2;93;;59;3,9
2025-01-31;13:30;-0,169;;8,2;93;;65;4
2025-01-31;13:40;-0,164;;8,3;94;;78;4,1
2025-01-31;13:50;-0,262;;8,3;94;;72;3,9
2025-01-31;14:00;-0,26;9,3;8,2;94;;70;3,8
2025-01-31;14:10;-0,321;;8,2;94;;56;4,1
2025-01-31;14:20;-0,343;;8,1;95;;55;4,2
2025-01-31;14:30;-0,352;;8,1;95;;49;4
2025-01-31;14:40;-0,405;;8,2;95;;28;3,9
2025-01-31;14:50;-0,419;;8,2;95;;11;3,8
2025-01-31;15:00;-0,457;9,3;8,1;96;;23;3,8
2025-01-31;15:10;-0,483;;8,1;97;;19;3
2025-01-31;15:20;-0,505;;8;97;;57;3,5
