DATA;ORA;LIVELLO IDROMETRICO;TEMPERATURA ACQUA;TEMPERATURA ARIA;UMIDITÀ RELATIVA;PRESSIONE ATMOSFERICA
2025-02-02;08:50;-0,208;;;;
2025-02-02;09:00;-0,222;13,8;12;99;1019,1
2025-02-02;09:10;-0,248;;;;
2025-02-02;09:20;-0,267;;;;
2025-02-02;09:30;-0,283;;;;
2025-02-02;09:40;-0,305;;;;
2025-02-02;09:50;-0,321;;;;
2025-02-02;10:00;-0,342;13,8;11,9;98;1018,9
2025-02-02;10:10;-0,353;;;;
2025-02-02;10:20;-0,36;;;;
2025-02-02;10:30;-0,368;;;;
2025-02-02;10:40;-0,368;;;;
2025-02-02;10:50;-0,369;;;;
2025-02-02;11:00;-0,373;13,9;12;97;1018,5
2025-02-02;11:10;-0,378;;;;
2025-02-02;11:20;-0,38;;;;
2025-02-02;11:30;-0,374;;;;
2025-02-02;11:40;-0,373;;;;
2025-02-02;11:50;-0,364;;;;
2025-02-02;12:00;-0,35;13,9;12,7;94;1017,8
2025-02-02;12:10;-0,342;;;;
2025-02-02;12:20;-0,33;;;;
2025-02-02;12:30;-0,319;;;;
2025-02-02;12:40;-0,31;;;;
2025-02-02;12:50;-0,299;;;;
2025-02-02;13:00;-0,298;13,9;12,9;92;1017,2
2025-02-02;13:10;-0,275;;;;
2025-02-02;13:20;-0,258;;;;
2025-02-02;13:30;-0,241;;;;
2025-02-02;13:40;-0,215;;;;
2025-02-02;13:50;-0,201;;;;
2025-02-02;14:00;-0,188;14;12,7;94;1016,8
2025-02-02;14:10;-0,167;;;;
2025-02-02;14:20;-0,149;;;;
2025-02-02;14:30;-0,136;;;;
2025-02-02;14:40;-0,118;;;;
2025-02-02;14:50;-0,103;;;;
2025-02-02;15:00;-0,087;14;13,1;95;1016,6
2025-02-02;15:10;-0,068;;;;
2025-02-02;15:20;-0,05;;;;
2025-02-02;15:30;-0,042;;;;
2025-02-02;15:40;-0,036;;;;
2025-02-02;15:50;-0,028;;;;
2025-02-02;16:00;-0,011;14;13;95;1016,6
2025-02-02;16:10;-0,01;;;;
2025-02-02;16:20;-0,001;;;;
2025-02-02;16:30;0,012;;;;
2025-02-02;16:40;0,02;;;;
2025-02-02;16:50;0,033;;;;
2025-02-02;17:00;0,04;14;13;94;1016,5
2025-02-02;17:10;0,05;;;;
2025-02-02;17:20;0,053;;;;
2025-02-02;17:30;0,047;;;;
2025-02-02;17:40;0,047;;;;
2025-02-02;17:50;0,042;;;;
2025-02-02;18:00;0,041;14;12,9;95;1016,5
2025-02-02;18:10;0,037;;;;
2025-02-02;18:20;0,031;;;;
2025-02-02;18:30;0,024;;;;
2025-02-02;18:40;0,024;;;;
2025-02-02;18:50;0,026;;;;
2025-02-02;19:00;0,014;14;13;95;1016,5
2025-02-02;19:10;0,011;;;;
2025-02-02;19:20;-0,003;;;;
2025-02-02;19:30;-0,02;;;;
2025-02-02;19:40;-0,029;;;;
2025-02-02;19:50;-0,036;;;;
2025-02-02;20:00;-0,043;14;12,6;98;1016,5
2025-02-02;20:10;-0,045;;;;
2025-02-02;20:20;-0,047;;;;
2025-02-02;20:30;-0,056;;;;
2025-02-02;20:40;-0,063;;;;
2025-02-02;20:50;-0,063;;;;
2025-02-02;21:00;-0,074;14;12,7;99;1016,5
2025-02-02;21:10;-0,084;;;;
2025-02-02;21:20;-0,093;;;;
2025-02-02;21:30;-0,096;;;;
2025-02-02;21:40;-0,102;;;;
2025-02-02;21:50;-0,106;;;;
2025-02-02;22:00;-0,105;14;12,4;99;1016,5
2025-02-02;22:10;-0,105;;;;
2025-02-02;22:20;-0,118;;;;
2025-02-02;22:30;-0,113;;;;
2025-02-02;22:40;-0,114;;;;
2025-02-02;22:50;-0,11;;;;
2025-02-02;23:00;-0,11;14;12;99;1016,6
2025-02-02;23:10;-0,11;;;;
2025-02-02;23:20;-0,101;;;;
2025-02-02;23:30;-0,094;;;;
2025-02-02;23:40;-0,085;;;;
2025-02-02;23:50;-0,07;;;;
2025-02-03;00:00;-0,068;14;11,7;99;1016,4
2025-02-03;00:10;-0,065;;;;
2025-02-03;00:20;-0,061;;;;
2025-02-03;00:30;-0,053;;;;
2025-02-03;00:40;-0,042;;;;
2025-02-03;00:50;-0,031;;;;
2025-02-03;01:00;-0,017;14;;;1015,9
2025-02-03;01:10;-0,004;;;;
2025-02-03;01:20;0,014;;;;
2025-02-03;01:30;0,041;;;;
2025-02-03;01:40;0,057;;;;
2025-02-03;01:50;0,073;;;;
2025-02-03;02:00;0,084;14;;;1015,7
2025-02-03;02:10;0,089;;;;
2025-02-03;02:20;0,102;;;;
2025-02-03;02:30;0,115;;;;
2025-02-03;02:40;0,122;;;;
2025-02-03;02:50;0,135;;;;
2025-02-03;03:00;0,151;14;;;1015,2
2025-02-03;03:10;0,155;;;;
2025-02-03;03:20;0,167;;;;
2025-02-03;03:30;0,182;;;;
2025-02-03;03:40;0,191;;;;
2025-02-03;03:50;0,198;;;;
2025-02-03;04:00;0,204;14;11,7;99;1014,8
2025-02-03;04:10;0,204;;;;
2025-02-03;04:20;0,214;;;;
2025-02-03;04:30;0,227;;;;
2025-02-03;04:40;0,227;;;;
2025-02-03;04:50;0,228;;;;
2025-02-03;05:00;0,226;14;12,3;99;1014,6
2025-02-03;05:10;0,224;;;;
2025-02-03;05:20;0,218;;;;
2025-02-03;05:30;0,217;;;;
2025-02-03;05:40;0,209;;;;
2025-02-03;05:50;0,195;;;;
2025-02-03;06:00;0,186;14;12,6;98;1014,8
2025-02-03;06:10;0,179;;;;
2025-02-03;06:20;0,175;;;;
2025-02-03;06:30;0,157;;;;
2025-02-03;06:40;0,138;;;;
2025-02-03;06:50;0,125;;;;
