DATA;ORA;LIVELLO IDROMETRICO;TEMPERATURA ACQUA;TEMPERATURA ARIA;UMIDITÀ RELATIVA;PRESSIONE ATMOSFERICA;DIREZIONE VENTO;VELOCITÀ VENTO
2025-01-31;08:50;0,608;;;;;22;1
2025-01-31;09:00;0,604;9,5;4,1;94;1025,8;2;0,9
2025-01-31;09:10;0,616;;;;;334;1,7
2025-01-31;09:20;0,618;;;;;323;1,6
2025-01-31;09:30;0,615;;;;;345;1,8
2025-01-31;09:40;0,603;;;;;342;1
2025-01-31;09:50;0,596;;;;;349;1
2025-01-31;10:00;0,596;9,5;4;94;1026,2;351;1,5
2025-01-31;10:10;0,586;;;;;20;1,4
2025-01-31;10:20;0,587;;;;;49;1,4
2025-01-31;10:30;0,59;;;;;45;1,6
2025-01-31;10:40;0,56;;;;;14;1,4
2025-01-31;10:50;0,534;;;;;9;2,1
2025-01-31;11:00;0,503;9,4;4,7;94;1026,1;12;1,9
2025-01-31;11:10;0,472;;;;;12;2,1
2025-01-31;11:20;0,445;;;;;29;2,4
2025-01-31;11:30;0,436;;;;;32;2,4
2025-01-31;11:40;0,402;;;;;43;1,8
2025-01-31;11:50;0,358;;;;;56;2,6
2025-01-31;12:00;0,307;9,4;5,9;94;1026,1;59;2,4
2025-01-31;12:10;0,258;;;;;76;2,3
2025-01-31;12:20;0,201;;;;;49;2,8
2025-01-31;12:30;0,167;;;;;54;3,6
2025-01-31;12:40;0,132;;;;;55;3,4
2025-01-31;12:50;0,088;;;;;75;2,9
2025-01-31;13:00;0,031;9,4;6,6;94;1026,1;59;2,2
2025-01-31;13:10;-0,013;;;;;69;2,5
2025-01-31;13:20;-0,053;;;;;64;2,4
2025-01-31;13:30;-0,082;;;;;58;2,8
2025-01-31;13:40;-0,144;;;;;81;3,1
2025-01-31;13:50;-0,196;;;;;56;3,7
2025-01-31;14:00;-0,249;9,3;7;94;1025,9;57;2,7
2025-01-31;14:10;-0,291;;;;;92;1,9
2025-01-31;14:20;-0,315;;;;;107;1,7
2025-01-31;14:30;-0,341;;;;;111;1,3
2025-01-31;14:40;-0,361;;;;;90;1,4
