DATA;ORA;LIVELLO IDROMETRICO;TEMPERATURA ACQUA;TEMPERATURA ARIA;UMIDITÀ RELATIVA;PRESSIONE ATMOSFERICA;DIREZIONE VENTO;VELOCITÀ VENTO
2025-02-01;08:50;-0,205;;13;73;;153;4
2025-02-01;09:00;-0,213;11,7;12,9;73;1026,1;146;3,9
2025-02-01;09:10;-0,227;;12,9;75;;154;4,3
2025-02-01;09:20;-0,24;;12,8;75;;151;4,6
2025-02-01;09:30;-0,234;;12,8;75;;150;4
2025-02-01;09:40;-0,246;;12,7;75;;160;4,7
2025-02-01;09:50;-0,284;;12,8;73;;151;4,7
2025-02-01;10:00;-0,277;11,7;12,8;75;1026,2;151;4
2025-02-01;10:10;-0,305;;12,8;76;;157;4,5
2025-02-01;10:20;-0,299;;12,8;76;;150;4,6
2025-02-01;10:30;-0,273;;12,9;76;;152;4,3
2025-02-01;10:40;-0,265;;12,9;76;;147;4,2
2025-02-01;10:50;-0,283;;12,9;77;;143;4,6
2025-02-01;11:00;-0,28;11,7;12,9;76;1025,5;141;4,7
2025-02-01;11:10;-0,304;;12,9;77;;142;4,6
2025-02-01;11:20;-0,297;;13;76;;147;4,2
2025-02-01;11:30;-0,276;;12,9;76;;143;4,9
2025-02-01;11:40;-0,295;;13;76;;140;4,6
2025-02-01;11:50;-0,263;;12,9;77;;138;4,4
2025-02-01;12:00;-0,271;11,7;12,9;77;1024,7;131;5
2025-02-01;12:10;-0,273;;12,8;78;;134;5
2025-02-01;12:20;-0,246;;12,8;78;;138;4,6
2025-02-01;12:30;-0,24;;12,8;78;;140;4,2
2025-02-01;12:40;-0,243;;12,7;79;;138;3,6
2025-02-01;12:50;-0,241;;12,6;79;;141;4,1
2025-02-01;13:00;-0,227;11,7;12,7;78;1024,1;143;3,5
2025-02-01;13:10;-0,214;;12,8;79;;143;3,1
2025-02-01;13:20;-0,194;;12,9;80;;145;3
2025-02-01;13:30;-0,177;;13,1;79;;141;3,5
2025-02-01;13:40;-0,175;;13;80;;143;3,3
2025-02-01;13:50;-0,162;;13,1;80;;142;3,7
2025-02-01;14:00;-0,148;11,7;13;80;1023,6;149;3,3
2025-02-01;14:10;-0,143;;13,2;80;;157;3,4
2025-02-01;14:20;-0,129;;13,1;81;;166;3,3
2025-02-01;14:30;-0,126;;13,1;81;;147;2,4
2025-02-01;14:40;-0,088;;13,1;81;;167;3,6
2025-02-01;14:50;-0,102;;13,1;81;;164;2,8
2025-02-01;15:00;-0,093;11,7;13,1;81;1023,4;166;2,6
2025-02-01;15:10;-0,088;;13,2;81;;168;3
2025-02-01;15:20;-0,055;;13,1;81;;166;2,7
2025-02-01;15:30;-0,084;;13,1;81;;153;2,1
2025-02-01;15:40;-0,085;;13,1;82;;157;2,2
2025-02-01;15:50;-0,047;;13,1;82;;151;1,8
2025-02-01;16:00;-0,068;11,7;13,1;82;1023,2;143;2,1
2025-02-01;16:10;-0,018;;13;83;;160;2,2
2025-02-01;16:20;-0,07;;12,9;83;;165;2,2
2025-02-01;16:30;-0,072;;12,9;84;;165;2,6
2025-02-01;16:40;-0,051;;12,9;84;;169;2,8
2025-02-01;16:50;-0,034;;12,9;84;;170;2,9
2025-02-01;17:00;-0,078;11,8;13;84;1023,1;157;2,6
2025-02-01;17:10;-0,08;;12,9;84;;163;2,1
2025-02-01;17:20;-0,053;;13;84;;166;2,2
2025-02-01;17:30;-0,087;;13;84;;167;2,1
2025-02-01;17:40;-0,049;;13,1;83;;167;2,7
2025-02-01;17:50;-0,089;;13;83;;168;2,8
2025-02-01;18:00;-0,111;11,8;13;84;1023,2;167;2,9
2025-02-01;18:10;-0,11;;13;84;;168;3,5
2025-02-01;18:20;-0,096;;13;84;;167;2,9
2025-02-01;18:30;-0,112;;13;84;;158;2,6
2025-02-01;18:40;-0,136;;13;85;;167;3,3
2025-02-01;18:50;-0,16;;12,8;86;;145;2,7
2025-02-01;19:00;-0,149;11,8;13;85;1023;161;3,3
2025-02-01;19:10;-0,128;;13,1;86;;150;4,2
2025-02-01;19:20;-0,174;;13,1;86;;152;4,5
2025-02-01;19:30;-0,206;;12,8;87;;164;4,1
2025-02-01;19:40;-0,179;;12,9;87;;170;4,6
2025-02-01;19:50;-0,227;;13;87;;167;4,4
2025-02-01;20:00;-0,242;11,7;13;87;1022,8;170;4,6
2025-02-01;20:10;-0,207;;12,7;88;;168;4,4
2025-02-01;20:20;-0,236;;12,7;88;;164;3,9
2025-02-01;20:30;-0,254;;12,8;87;;168;3,2
2025-02-01;20:40;-0,252;;12,8;87;;168;3,4
2025-02-01;20:50;-0,276;;12,8;88;;173;3,2
2025-02-01;21:00;-0,281;11,7;12,8;88;1022,8;175;3,9
2025-02-01;21:10;-0,275;;12,8;86;;176;3,8
2025-02-01;21:20;-0,295;;12,9;85;;175;3,3
2025-02-01;21:30;-0,297;;12,8;86;;173;2,8
2025-02-01;21:40;-0,29;;12,7;85;;181;2,5
2025-02-01;21:50;-0,295;;12,6;84;;198;1,9
2025-02-01;22:00;-0,297;11,7;12,8;85;1022,5;198;1,3
2025-02-01;22:10;-0,28;;12,3;85;;169;0,9
2025-02-01;22:20;-0,313;;12,1;86;;93;1,1
2025-02-01;22:30;-0,321;;11,9;89;;96;1,6
2025-02-01;22:40;-0,28;;12;90;;110;2,3
2025-02-01;22:50;-0,311;;12;89;;121;2,5
2025-02-01;23:00;-0,32;11,7;12,1;88;1022,3;134;2,5
2025-02-01;23:10;-0,249;;12,2;87;;136;2,1
2025-02-01;23:20;-0,282;;12,1;89;;128;1,8
2025-02-01;23:30;-0,292;;12,1;87;;146;1,5
2025-02-01;23:40;-0,278;;11,9;87;;153;0,9
2025-02-01;23:50;-0,269;;11,5;89;;50;0,6
2025-02-02;00:00;-0,222;11,7;12;88;1021,8;167;1
2025-02-02;00:10;-0,251;;11;91;;203;1
2025-02-02;00:20;-0,224;;11,2;90;;182;1,4
2025-02-02;00:30;-0,215;;11,6;87;;185;1,3
2025-02-02;00:40;-0,165;;12,2;83;;172;1,5
2025-02-02;00:50;-0,169;;12,2;82;;190;1
2025-02-02;01:00;-0,171;11,7;11,7;86;1021,2;230;0,7
2025-02-02;01:10;-0,163;;12,3;85;;135;2
2025-02-02;01:20;-0,135;;12,5;84;;152;2,7
2025-02-02;01:30;-0,141;;12,4;86;;151;2,9
2025-02-02;01:40;-0,103;;12,4;86;;158;3
2025-02-02;01:50;-0,074;;12,4;85;;164;3,6
2025-02-02;02:00;-0,083;11,8;12,4;85;1020,8;162;3,5
2025-02-02;02:10;-0,065;;12,3;85;;164;2,4
2025-02-02;02:20;-0,062;;12,3;86;;155;2,4
2025-02-02;02:30;-0,026;;12,3;86;;151;2,4
2025-02-02;02:40;-0,056;;12,3;86;;154;2,9
2025-02-02;02:50;0,002;;12,3;86;;163;3,7
2025-02-02;03:00;-0,007;11,8;12,3;86;1020,2;161;4,2
2025-02-02;03:10;-0,001;;12,4;84;;160;4,1
2025-02-02;03:20;-0,007;;12,4;85;;161;4
2025-02-02;03:30;0,039;;12,4;85;;163;3,4
