DATA;ORA;LIVELLO IDROMETRICO;TEMPERATURA ACQUA;TEMPERATURA ARIA;UMIDITÀ RELATIVA;PRESSIONE ATMOSFERICA;DIREZIONE VENTO;VELOCITÀ VENTO
2025-02-04;15:00;-0,131;13,9;14,4;68;1023,5;167;2,4
2025-02-04;15:10;-0,14;;14,7;67;;169;2,5
2025-02-04;15:20;-0,135;;14,7;67;;162;1,9
2025-02-04;15:30;-0,134;;14,6;68;;178;2,1
2025-02-04;15:40;-0,18;;14,5;68;;178;2,2
2025-02-04;15:50;-0,179;;14,4;68;;180;2,1
2025-02-04;16:00;-0,183;14;14,6;68;1023,6;177;2,1
2025-02-04;16:10;-0,211;;14,1;69;;197;1,9
2025-02-04;16:20;-0,22;;14,1;69;;195;1,6
2025-02-04;16:30;-0,214;;14;68;;209;1,3
2025-02-04;16:40;-0,207;;14;69;;200;1,2
2025-02-04;16:50;-0,222;;13,9;70;;225;0,8
2025-02-04;17:00;-0,247;14,1;14;69;1024;246;0,7
2025-02-04;17:10;-0,245;;13,4;72;;261;0,9
2025-02-04;17:20;-0,257;;13,2;73;;264;0,9
2025-02-04;17:30;-0,262;;13,1;73;;268;0,8
2025-02-04;17:40;-0,24;;13;74;;266;0,9
2025-02-04;17:50;-0,267;;12,9;74;;273;0,7
2025-02-04;18:00;-0,276;14,1;13,1;73;1024,7;280;0,7
2025-02-04;18:10;-0,263;;12,6;75;;295;0,8
2025-02-04;18:20;-0,267;;12,5;75;;298;0,9
2025-02-04;18:30;-0,274;;12,5;76;;291;1
2025-02-04;18:40;-0,282;;12,4;77;;288;0,9
2025-02-04;18:50;-0,282;;12,3;77;;297;1,3
2025-02-04;19:00;-0,272;14,1;12,5;76;1025,2;290;1,2
2025-02-04;19:10;-0,268;;12,4;78;;293;1,2
2025-02-04;19:20;-0,302;;12,3;78;;291;1,1
2025-02-04;19:30;-0,261;;12,2;79;;287;0,6
2025-02-04;19:40;-0,281;;12,1;79;;279;0,5
2025-02-04;19:50;-0,267;;12;79;;267;0,2
2025-02-04;20:00;-0,268;14;12,2;79;1025,6;306;0,3
2025-02-04;20:10;-0,246;;12,1;80;;76;0,5
2025-02-04;20:20;-0,276;;12,1;81;;10;0,9
2025-02-04;20:30;-0,261;;11,7;81;;1;0,5
2025-02-04;20:40;-0,263;;11,6;81;;327;0,8
2025-02-04;20:50;-0,238;;11,4;81;;321;1
2025-02-04;21:00;-0,243;14;11,7;81;1026,1;332;1,1
2025-02-04;21:10;-0,206;;11;82;;338;1,2
2025-02-04;21:20;-0,238;;10,8;82;;333;1,3
2025-02-04;21:30;-0,224;;10,7;83;;334;1,2
2025-02-04;21:40;-0,197;;10,7;83;;336;1,1
2025-02-04;21:50;-0,214;;10,7;84;;330;2,3
2025-02-04;22:00;-0,208;14;10,8;83;1026,3;332;2,8
2025-02-04;22:10;-0,212;;10,7;84;;332;2,5
