DATA;ORA;LIVELLO IDROMETRICO;TEMPERATURA ACQUA;TEMPERATURA ARIA;UMIDITÀ RELATIVA;PRESSIONE ATMOSFERICA;DIREZIONE VENTO;VELOCITÀ VENTO
2025-02-02;15:00;0,145;15,1;;;1009,4;315;3,7
2025-02-02;15:10;0,126;;;;;317;3,6
2025-02-02;15:20;0,141;;;;;322;3,2
2025-02-02;15:30;0,153;;;;;322;2,9
2025-02-02;15:40;0,095;;;;;323;2,6
2025-02-02;15:50;0,072;;;;;315;3,4
2025-02-02;16:00;0,06;15,1;;;1009,8;313;4,1
2025-02-02;16:10;0,088;;;;;309;4,2
2025-02-02;16:20;0,105;;;;;309;3,8
2025-02-02;16:30;0,08;;;;;314;3,9
2025-02-02;16:40;0,099;;;;;317;4
2025-02-02;16:50;0,051;;;;;333;2,3
2025-02-02;17:00;0,041;15,1;;;1010,2;301;4,5
2025-02-02;17:10;0,088;;;;;297;5,6
2025-02-02;17:20;0,071;;;;;299;5,2
2025-02-02;17:30;0,084;;;;;318;4,2
2025-02-02;17:40;0,046;;;;;331;3,2
2025-02-02;17:50;0,034;;;;;316;4,9
2025-02-02;18:00;0,09;15,1;;;1010,8;315;4,6
2025-02-02;18:10;0,069;;;;;333;3,1
2025-02-02;18:20;0,035;;;;;337;3
2025-02-02;18:30;0,079;;;;;350;2,6
2025-02-02;18:40;0,089;;;;;347;2,3
2025-02-02;18:50;0,111;;;;;340;2,4
2025-02-02;19:00;0,089;15,1;;;1011,6;327;2,4
2025-02-02;19:10;0,098;;;;;317;2,3
2025-02-02;19:20;0,136;;;;;316;2,4
2025-02-02;19:30;0,105;;;;;316;2,3
2025-02-02;19:40;0,086;;;;;326;2,1
2025-02-02;19:50;0,131;;;;;333;1,7
2025-02-02;20:00;0,161;15,1;;;1012;324;1,7
2025-02-02;20:10;0,156;;;;;328;1,5
2025-02-02;20:20;0,156;;;;;327;1,4
2025-02-02;20:30;0,194;;;;;328;2
2025-02-02;20:40;0,166;;;;;336;2
2025-02-02;20:50;0,188;;;;;349;2,2
2025-02-02;21:00;0,165;15,1;;;1012,3;345;2,1
2025-02-02;21:10;0,223;;;;;350;2,2
2025-02-02;21:20;0,197;;;;;349;2,2
2025-02-02;21:30;0,225;;;;;339;1,6
2025-02-02;21:40;0,237;;;;;341;1,8
2025-02-02;21:50;0,253;;;;;340;1,7
2025-02-02;22:00;0,215;15,1;;;1012,5;339;1,8
2025-02-02;22:10;0,211;;;;;349;2
2025-02-02;22:20;0,245;;;;;358;2,1
2025-02-02;22:30;0,25;;;;;359;1,9
2025-02-02;22:40;0,267;;;;;345;1,9
2025-02-02;22:50;0,268;;;;;340;2,1
2025-02-02;23:00;0,28;15;;;1012,7;337;2
2025-02-02;23:10;0,251;;;;;325;1,7
2025-02-02;23:20;0,209;;;;;321;1,8
2025-02-02;23:30;0,236;;;;;335;1,6
2025-02-02;23:40;0,273;;;;;345;1,7
2025-02-02;23:50;0,253;;;;;351;1,9
2025-02-03;00:00;0,275;15;;;1012,9;351;1,9
2025-02-03;00:10;0,247;;;;;355;2,2
2025-02-03;00:20;0,216;;;;;355;2,1
2025-02-03;00:30;0,197;;;;;352;1,8
2025-02-03;00:40;0,195;;;;;355;1,5
2025-02-03;00:50;0,226;;;;;20;1,6
2025-02-03;01:00;0,206;15;;;1012,7;36;1,7
2025-02-03;01:10;0,218;;;;;34;2,2
2025-02-03;01:20;0,202;;;;;31;1,5
2025-02-03;01:30;0,162;;;;;36;1,2
2025-02-03;01:40;0,144;;;;;343;0,9
2025-02-03;01:50;0,141;;;;;345;1
2025-02-03;02:00;0,137;15;;;1012,8;323;0,6
2025-02-03;02:10;0,146;;;;;287;0,7
2025-02-03;02:20;0,147;;;;;302;1,3
2025-02-03;02:30;0,102;;;;;294;1,6
2025-02-03;02:40;0,115;;;;;312;1,3
2025-02-03;02:50;0,095;;;;;292;1,1
2025-02-03;03:00;0,083;15;;;1012,7;342;1,5
2025-02-03;03:10;0,096;;;;;343;1,4
2025-02-03;03:20;0,075;;;;;16;1,4
2025-02-03;03:30;0,119;;;;;24;1,6
2025-02-03;03:40;0,067;;;;;40;2,4
2025-02-03;03:50;0,049;;;;;35;2,3
2025-02-03;04:00;0,049;15;;;1012,5;35;2,1
2025-02-03;04:10;0,045;;;;;39;2,4
2025-02-03;04:20;0,05;;;;;40;2,5
2025-02-03;04:30;0,032;;;;;23;1,6
2025-02-03;04:40;0,056;;;;;27;1,5
2025-02-03;04:50;0,057;;;;;15;1,2
2025-02-03;05:00;0,07;15;;;1012,7;315;1,9
2025-02-03;05:10;0,04;;;;;317;3,2
2025-02-03;05:20;0,055;;;;;319;2,8
2025-02-03;05:30;0,058;;;;;314;2,6
2025-02-03;05:40;0,041;;;;;317;2,3
2025-02-03;05:50;0,068;;;;;319;2,4
2025-02-03;06:00;0,107;15;;;1013,2;319;3,3
2025-02-03;06:10;0,081;;;;;338;2,4
2025-02-03;06:20;0,066;;;;;329;1,8
2025-02-03;06:30;0,072;;;;;316;3
2025-02-03;06:40;0,113;;;;;324;2,9
2025-02-03;06:50;0,092;;;;;334;2,9
2025-02-03;07:00;0,099;15;;;1013,9;334;2,3
2025-02-03;07:10;0,144;;;;;321;2,7
2025-02-03;07:20;0,147;;;;;329;2,9
2025-02-03;07:30;0,127;;;;;328;2
2025-02-03;07:40;0,145;;;;;330;2,1
2025-02-03;07:50;0,171;;;;;328;2,1
2025-02-03;08:00;0,167;15;;;1014,5;317;3,1
2025-02-03;08:10;0,172;;;;;313;3,5
2025-02-04;06:20;-0,021;;;;;305;1,1
2025-02-04;06:30;-0,009;;;;;300;1,5
2025-02-04;06:40;0,023;;;;;317;2,1
2025-02-04;06:50;0,021;;;;;317;2,2
2025-02-04;07:00;0,023;15;;;1023,8;313;2,5
2025-02-04;07:10;0,033;;;;;318;2,6
2025-02-04;07:20;0,031;;;;;327;2,7
2025-02-04;07:30;0,039;;;;;328;2,4
2025-02-04;07:40;0,028;;;;;339;1,9
2025-02-04;07:50;0,056;;;;;329;2,5
2025-02-04;08:00;0,06;15;;;1024,2;318;2,4
2025-02-04;08:10;0,082;;;;;320;3
2025-02-04;08:20;0,094;;;;;319;2,6
2025-02-04;08:30;0,08;;;;;314;3
2025-02-04;08:40;0,068;;;;;311;2,9
2025-02-04;08:50;0,113;;;;;307;3,1
2025-02-04;09:00;0,105;15;;;1024,7;308;2,6
2025-02-04;09:10;0,124;;;;;312;2,4
2025-02-04;09:20;0,123;;;;;315;2,7
2025-02-04;09:30;0,135;;;;;329;1,6
2025-02-04;09:40;0,157;;;;;334;1,5
2025-02-04;09:50;0,152;;;;;314;1,9
2025-02-04;10:00;0,153;15;;;1024,8;332;1,8
2025-02-04;10:10;0,151;;;;;347;2,2
2025-02-04;10:20;0,174;;;;;355;2,1
2025-02-04;10:30;0,183;;;;;350;2,4
2025-02-04;10:40;0,189;;;;;327;2,6
2025-02-04;10:50;0,198;;;;;327;2,7
2025-02-04;11:00;0,188;15;;;1024,9;317;3
2025-02-04;11:10;0,188;;;;;306;3,4
2025-02-04;11:20;0,203;;;;;310;2,9
2025-02-04;11:30;0,204;;;;;312;2,3
2025-02-04;11:40;0,217;;;;;321;2,3
2025-02-04;11:50;0,214;;;;;298;2,6
2025-02-04;12:00;;15;;;1024,6;290;2,7
2025-02-04;12:10;0,214;;;;;294;2,6
2025-02-04;12:20;0,186;;;;;297;2,3
2025-02-04;12:30;0,196;;;;;276;2,2
2025-02-04;12:40;0,236;;;;;230;3,4
2025-02-04;12:50;0,207;;;;;206;4,5
2025-02-04;13:00;0,203;15;;;1024,1;203;5
2025-02-04;13:10;0,215;;;;;197;5,1
2025-02-04;13:20;0,193;;;;;196;4,9
2025-02-04;13:30;0,191;;;;;193;4,7
2025-02-04;13:40;0,181;;;;;188;4,7
2025-02-04;13:50;0,175;;;;;186;4,7
2025-02-04;14:00;0,18;15;;;1023,9;184;5,1
2025-02-04;14:10;0,176;;;;;185;5,6
2025-02-04;14:20;0,182;;;;;182;5
2025-02-04;14:30;0,145;;;;;182;5
2025-02-04;14:40;0,137;;;;;173;4,4
2025-02-04;14:50;0,154;;;;;171;4,4
2025-02-04;15:00;0,139;15;;;1024;171;4,2
2025-02-04;15:10;0,117;;;;;164;3,7
2025-02-04;15:20;0,118;;;;;159;3,6
2025-02-04;15:30;0,13;;;;;152;3,5
2025-02-04;15:40;0,094;;;;;147;4
2025-02-04;15:50;0,086;;;;;140;4
2025-02-04;16:00;0,061;15;;;1024,3;135;3,5
2025-02-04;16:10;0,085;;;;;133;3,5
2025-02-04;16:20;0,086;;;;;130;3,4
2025-02-04;16:30;0,066;;;;;126;3
2025-02-04;16:40;0,073;;;;;120;2,7
2025-02-04;16:50;0,02;;;;;120;2,5
2025-02-04;17:00;0,026;15;;;1024,6;117;2,6
2025-02-04;17:10;0,037;;;;;124;2,8
2025-02-04;17:20;0,038;;;;;125;2,7
2025-02-04;17:30;0,043;;;;;122;2,5
2025-02-04;17:40;0,028;;;;;123;2,9
2025-02-04;17:50;0;;;;;125;2,5
2025-02-04;18:00;0,01;15;;;1025,3;128;3
2025-02-04;18:10;0,013;;;;;130;3,1
2025-02-04;18:20;0,002;;;;;127;2,8
2025-02-04;18:30;0,012;;;;;128;2,7
2025-02-04;18:40;0,005;;;;;127;2,7
2025-02-04;18:50;0,006;;;;;127;2,8
2025-02-04;19:00;0,01;15,1;;;1025,9;128;2,1
2025-02-04;19:10;-0,006;;;;;121;1,7
2025-02-04;19:20;0,007;;;;;109;1,7
2025-02-04;19:30;0,006;;;;;110;1,8
2025-02-04;19:40;0,007;;;;;109;1,7
2025-02-04;19:50;0,03;;;;;105;2
2025-02-04;20:00;0;15,1;;;1026,3;101;1,4
2025-02-04;20:10;0,011;;;;;133;2
2025-02-04;20:20;0,017;;;;;131;2,6
2025-02-04;20:30;0,027;;;;;102;1,5
2025-02-04;20:40;0,021;;;;;120;2
2025-02-04;20:50;0,051;;;;;128;1,8
2025-02-04;21:00;0,043;15,1;;;1026,7;124;1,9
2025-02-04;21:10;0,033;;;;;117;1,8
2025-02-04;21:20;0,023;;;;;108;1,3
2025-02-04;21:30;0,036;;;;;93;1
2025-02-04;21:40;0,069;;;;;91;0,9
2025-02-04;21:50;0,076;;;;;92;0,9
2025-02-04;22:00;0,089;15,1;;;1027;79;0,8
2025-02-04;22:10;0,1;;;;;77;0,8
2025-02-04;22:20;0,076;;;;;82;1,1
2025-02-04;22:30;0,072;;;;;71;0,9
2025-02-04;22:40;0,086;;;;;68;1,1
2025-02-04;22:50;0,111;;;;;57;1
2025-02-04;23:00;0,129;15,1;;;1027,3;42;0,7
2025-02-04;23:10;0,135;;;;;306;1
2025-02-04;23:20;0,135;;;;;323;0,9
2025-02-04;23:30;0,122;;;;;2;0,5
2025-02-04;23:40;0,103;;;;;313;1,2
2025-02-04;23:50;0,118;;;;;319;1,6
2025-02-05;00:00;0,132;15,1;;;1027,6;326;1,5
2025-02-05;00:10;0,137;;;;;324;1,1
2025-02-05;00:20;0,151;;;;;315;1,5
2025-02-05;00:30;0,173;;;;;326;1,4
2025-02-05;00:40;0,154;;;;;317;1,2
2025-02-05;00:50;0,126;;;;;316;1,5
2025-02-05;01:00;0,109;15,1;;;1027,6;318;1,3
2025-02-05;01:10;0,153;;;;;323;1,1
2025-02-05;01:20;0,152;;;;;317;1
2025-02-05;01:30;0,152;;;;;311;1,9
2025-02-05;01:40;0,165;;;;;315;2,6
2025-02-05;01:50;0,137;;;;;319;2,4
2025-02-05;02:00;0,13;15,1;;;1027,7;321;1,8
2025-02-05;02:10;0,105;;;;;329;2
2025-02-05;02:20;0,12;;;;;320;2,1
2025-02-05;02:30;0,12;;;;;340;1,7
2025-02-05;02:40;0,112;;;;;324;2
2025-02-05;02:50;0,111;;;;;313;2,4
2025-02-05;03:00;0,092;15,1;;;1027,9;319;2,1
2025-02-05;03:10;0,078;;;;;315;2,2
2025-02-05;03:20;0,067;;;;;315;2,5
2025-02-05;03:30;0,077;;;;;333;2,3
2025-02-05;03:40;0,083;;;;;333;1,6
2025-02-05;03:50;0,063;;;;;329;1,4
2025-02-05;04:00;0,08;15,1;;;1027,9;317;2,2
2025-02-05;04:10;0,064;;0;;;317;2,5
2025-02-05;04:20;0,034;;;;;322;2,3
2025-02-05;04:30;0,016;;;;;326;1,9
2025-02-05;04:40;0,028;;;;;338;2,6
2025-02-05;04:50;0,038;;;;;341;2,1
2025-02-05;05:00;0,017;15,1;;;1028;339;1,8
2025-02-05;05:10;0,02;;;;;338;1,9
2025-02-05;05:20;0,022;;;;;335;2,2
2025-02-05;05:30;-0,006;;;;;342;2,6
2025-02-05;05:40;-0,011;;;;;338;3,1
2025-02-05;05:50;-0,011;;0;;;337;2,3
2025-02-05;06:00;-0,001;15,1;;;1028,2;335;2,1
2025-02-05;06:10;0,012;;;;;335;2,2
2025-02-05;06:20;0,012;;;;;328;2,3
2025-02-05;06:30;0,019;;;;;341;1,7
2025-02-05;06:40;-0,02;;;;;338;2,2
2025-02-05;06:50;-0,034;;;;;343;1,9
2025-02-05;07:00;0,004;15,1;;;1028,6;347;1,7
2025-02-05;07:10;-0,009;;;;;325;1,6
2025-02-05;07:20;-0,007;;;;;311;2,4
2025-02-05;07:30;0,006;;;;;311;2,3
2025-02-05;07:40;0,016;;;;;306;2,1
2025-02-05;07:50;0,031;;;;;304;2,2
2025-02-05;08:00;-0,005;15,1;;;1029,2;311;1,5
2025-02-05;08:10;0,001;;;;;318;1,4
2025-02-05;08:20;0,023;;0;;;308;1,8
2025-02-05;08:30;0,024;;;;;307;1,9
2025-02-05;08:40;0,033;;;;;303;1,9
2025-02-05;08:50;0,027;;;;;303;1,7
2025-02-05;09:00;0,052;15,1;;;1029,5;294;1,9
2025-02-05;09:10;0,04;;;;;284;1,9
2025-02-05;09:20;0,056;;;;;299;2,4
2025-02-05;09:30;0,06;;;;;298;2,5
2025-02-05;09:40;0,045;;;;;291;2,4
2025-02-05;09:50;0,087;;;;;293;2,3
2025-02-05;10:00;0,071;15,1;;;1029,8;277;2,2
2025-02-05;10:10;0,101;;;;;287;2,3
2025-02-05;10:20;0,099;;;;;291;2
2025-02-05;10:30;0,086;;;;;294;2,3
2025-02-05;10:40;0,131;;;;;305;2,1
2025-02-05;10:50;0,093;;;;;282;1,5
2025-02-05;11:00;0,098;15,1;;;1029,6;239;1,5
2025-02-05;11:10;0,116;;;;;240;1,8
2025-02-05;11:20;0,111;;;;;227;2,2
2025-02-05;11:30;0,121;;;;;229;1,6
2025-02-05;11:40;0,127;;;;;223;1,8
2025-02-05;11:50;0,141;;;;;222;1,8
2025-02-05;12:00;0,171;15,1;;;1029,1;218;1,8
2025-02-05;12:10;0,123;;;;;212;2
2025-02-05;12:20;0,124;;;;;210;2
2025-02-05;12:30;0,125;;;;;216;2
2025-02-05;12:40;0,13;;;;;218;1,8
2025-02-05;12:50;0,14;;;;;212;1,7
2025-02-05;13:00;0,141;15,2;;;1028,6;198;1,8
2025-02-05;13:10;0,159;;;;;199;2,1
2025-02-05;13:20;0,147;;;;;189;2,5
2025-02-05;13:30;0,153;;;;;171;2,6
2025-02-05;13:40;0,132;;;;;174;2,8
