DATA;ORA;LIVELLO IDROMETRICO;TEMPERATURA ACQUA;TEMPERATURA ARIA;UMIDITÀ RELATIVA;PRESSIONE ATMOSFERICA;DIREZIONE VENTO;VELOCITÀ VENTO
2025-02-02;15:00;-0,103;17,8;15,8;49;1013,4;33;3,6
2025-02-02;15:10;-0,111;;15,2;51;;30;3,2
2025-02-02;15:20;-0,124;;15,2;50;;34;3,3
2025-02-02;15:30;-0,133;;15;51;;33;3,6
2025-02-02;15:40;-0,14;;14,9;52;;31;3,8
2025-02-02;15:50;-0,146;;14,9;52;;37;3,6
2025-02-02;16:00;-0,151;17,8;15,1;51;1013,4;38;3,8
2025-02-02;16:10;-0,155;;14,9;50;;41;3,9
2025-02-02;16:20;-0,158;;14,9;51;;43;3,5
2025-02-02;16:30;-0,163;;14,7;52;;39;4
2025-02-02;16:40;-0,164;;14,5;52;;41;4
2025-02-02;16:50;-0,169;;14,4;52;;43;4,2
2025-02-02;17:00;-0,171;17,8;14,7;51;1013,4;42;4,3
2025-02-02;17:10;-0,176;;14,2;53;;43;4,4
2025-02-02;17:20;-0,175;;14;54;;41;4,6
2025-02-02;17:30;-0,179;;13,6;56;;39;4
2025-02-02;17:40;-0,178;;13,5;57;;41;4
2025-02-02;17:50;-0,18;;13,5;57;;39;3,8
2025-02-02;18:00;-0,18;17,9;13,8;55;1013,5;39;3,4
2025-02-02;18:10;-0,181;;13,5;57;;38;3,3
2025-02-02;18:20;-0,177;;13,3;58;;34;3,2
2025-02-02;18:30;-0,178;;13;60;;32;3
2025-02-02;18:40;-0,173;;13;59;;37;3,2
2025-02-02;18:50;-0,169;;12,9;60;;30;2,9
2025-02-02;19:00;-0,162;17,9;13,2;59;1013,9;30;3
2025-02-02;19:10;-0,155;;12,6;61;;35;3,1
2025-02-02;19:20;-0,139;;12,3;62;;29;3
2025-02-02;19:30;-0,128;;12,1;61;;28;2,7
2025-02-02;19:40;-0,116;;12;62;;33;2,9
2025-02-02;19:50;-0,107;;12,2;60;;37;2,8
2025-02-02;20:00;-0,095;17,9;12,3;61;1014,1;31;2,6
2025-02-02;20:10;-0,088;;12;61;;27;3,2
2025-02-02;20:20;-0,081;;12;59;;36;3,2
2025-02-02;20:30;-0,072;;12,3;57;;35;3,1
2025-02-02;20:40;-0,061;;11,9;61;;34;2,8
2025-02-02;20:50;-0,051;;11,7;63;;34;3
2025-02-02;21:00;-0,042;17,9;11,9;60;1014,4;32;3,3
2025-02-02;21:10;-0,032;;11,4;63;;32;2,7
2025-02-02;21:20;-0,016;;11,3;63;;28;3,5
2025-02-02;21:30;-0,005;;11,4;62;;35;3,1
2025-02-02;21:40;0,008;;11,4;62;;38;2,7
2025-02-02;21:50;0,019;;11,2;64;;31;2,7
2025-02-02;22:00;0,027;17,9;11,4;63;1014,3;37;2,6
2025-02-02;22:10;0,034;;11,7;60;;38;3,5
2025-02-02;22:20;0,045;;12,4;56;;38;4
2025-02-02;22:30;0,048;;13,2;53;;38;4,1
2025-02-02;22:40;0,052;;12,6;57;;34;3,5
2025-02-02;22:50;0,055;;12,6;56;;37;3,1
2025-02-02;23:00;0,053;17,9;12,4;57;1014,5;33;2,8
2025-02-02;23:10;0,055;;11,9;59;;34;3,4
2025-02-02;23:20;0,054;;11,2;63;;33;3,6
2025-02-02;23:30;0,053;;11,4;62;;33;4
2025-02-02;23:40;0,049;;11,3;62;;31;3,5
2025-02-02;23:50;0,057;;11,2;64;;29;3,2
2025-02-03;00:00;0,044;17,9;11,5;62;1014,5;28;3,8
2025-02-03;00:10;0,042;;11,2;64;;29;3,7
2025-02-03;00:20;0,042;;11,4;63;;32;3,4
2025-02-03;00:30;0,035;;11,2;64;;31;3,1
2025-02-03;00:40;0,026;;11,2;63;;34;2,9
2025-02-03;00:50;0,022;;11,3;62;;29;2,3
2025-02-03;01:00;0,014;17,9;11,3;63;1014,2;21;2,9
2025-02-03;01:10;-0,002;;11,6;61;;28;3,6
2025-02-03;01:20;-0,017;;11,5;62;;33;3,3
2025-02-03;01:30;-0,033;;11,6;62;;37;3,2
2025-02-03;01:40;-0,042;;11,5;63;;34;3,3
2025-02-03;01:50;-0,054;;11,6;62;;38;3,2
2025-02-03;02:00;-0,064;17,9;11,5;62;1014,4;34;3
2025-02-03;02:10;-0,082;;11,1;66;;34;2,9
2025-02-03;02:20;-0,092;;11,2;66;;33;3,2
2025-02-03;02:30;-0,109;;11,1;66;;35;3,2
2025-02-03;02:40;-0,12;;10,8;68;;30;2,7
2025-02-03;02:50;-0,131;;10,8;69;;31;3,2
2025-02-03;03:00;-0,136;17,9;11;67;1014,5;34;3,1
2025-02-03;03:10;-0,143;;10,6;69;;31;3
2025-02-03;03:20;-0,147;;10,6;70;;32;2,8
2025-02-03;03:30;-0,153;;10,8;69;;36;2,8
2025-02-03;03:40;-0,158;;10,7;69;;32;3
2025-02-03;03:50;-0,165;;10,8;69;;37;3,4
2025-02-03;04:00;-0,169;17,9;10,7;69;1014,8;35;3,1
2025-02-03;04:10;-0,176;;10,8;70;;34;3,4
2025-02-03;04:20;-0,181;;11;68;;39;3,7
2025-02-03;04:30;-0,186;;11;69;;36;3,2
2025-02-03;04:40;-0,186;;11;69;;35;2,8
2025-02-03;04:50;-0,186;;11,3;68;;35;2,9
2025-02-03;05:00;-0,186;17,9;11;69;1015,1;30;2,3
2025-02-03;05:10;-0,186;;11,4;69;;27;1,9
2025-02-03;05:20;-0,186;;11,4;70;;20;1,8
2025-02-03;05:30;-0,186;;11,4;70;;6;0,9
2025-02-03;05:40;-0,186;;11,5;72;;338;0,8
2025-02-03;05:50;-0,186;;12,3;70;;49;1,9
2025-02-03;06:00;-0,186;17,9;11,7;70;1015,5;36;2,9
2025-02-03;06:10;-0,182;;12,3;71;;40;2,9
2025-02-03;06:20;-0,178;;11,9;74;;35;3,3
