DATA;ORA;LIVELLO IDROMETRICO;TEMPERATURA ACQUA;TEMPERATURA ARIA;UMIDITÀ RELATIVA;PRESSIONE ATMOSFERICA;DIREZIONE VENTO;VELOCITÀ VENTO
2025-02-03;15:00;-0,169;15,8;13,9;72;1017,8;19;3,2
2025-02-03;15:10;-0,137;;;;;23;3,2
2025-02-03;15:20;-0,143;;;;;16;3,5
2025-02-03;15:30;-0,223;;;;;15;3,1
2025-02-03;15:40;-0,195;;;;;30;3,1
2025-02-03;15:50;-0,157;;;;;34;3,5
2025-02-03;16:00;-0,169;15,8;13,6;76;1018,2;30;2,6
2025-02-03;16:10;-0,215;;;;;36;2,5
2025-02-03;16:20;-0,132;;;;;37;2,2
2025-02-03;16:30;-0,242;;;;;42;1,9
2025-02-03;16:40;-0,211;;;;;38;2
2025-02-03;16:50;-0,225;;;;;42;2,3
2025-02-03;17:00;-0,261;15,6;13,5;76;1018,6;48;2,6
2025-02-03;17:10;-0,276;;;;;47;2,2
2025-02-03;17:20;-0,286;;;;;46;2,3
2025-02-03;17:30;-0,314;;;;;51;2,1
2025-02-03;17:40;-0,278;;;;;50;2
2025-02-03;17:50;-0,31;;;;;54;2,1
2025-02-03;18:00;-0,264;15,6;13,5;75;1019,1;53;2,3
2025-02-03;18:10;-0,287;;;;;57;1,9
2025-02-03;18:20;-0,262;;;;;55;1,8
2025-02-03;18:30;-0,238;;;;;58;2,1
2025-02-03;18:40;-0,273;;;;;55;1,5
2025-02-03;18:50;-0,245;;;;;62;2,1
2025-02-03;19:00;-0,257;15,6;13,3;74;1019,6;61;1,7
2025-02-03;19:10;-0,227;;;;;61;1,5
2025-02-03;19:20;-0,265;;;;;47;1,1
2025-02-03;19:30;-0,209;;;;;44;1,3
2025-02-03;19:40;-0,227;;;;;61;1
2025-02-03;19:50;-0,241;;;;;68;1,2
2025-02-03;20:00;-0,241;15,6;13,2;73;1020,2;62;0,8
2025-02-03;20:10;-0,218;;;;;89;0,8
2025-02-03;20:20;-0,218;;;;;67;1,9
2025-02-03;20:30;-0,141;;;;;67;2,2
2025-02-03;20:40;-0,207;;;;;67;2,4
2025-02-03;20:50;-0,216;;;;;64;2,3
2025-02-03;21:00;-0,204;15,6;13,4;68;1020,6;67;2,4
2025-02-03;21:10;-0,157;;;;;65;3
2025-02-03;21:20;-0,163;;;;;66;2,6
2025-02-03;21:30;-0,142;;;;;64;2,6
2025-02-03;21:40;-0,156;;;;;61;2,4
2025-02-03;21:50;-0,16;;;;;70;1,9
2025-02-03;22:00;-0,112;15,6;12,9;67;1021;70;1,5
2025-02-03;22:10;-0,094;;;;;66;2,4
2025-02-03;22:20;-0,075;;;;;52;2,4
2025-02-03;22:30;-0,066;;;;;57;2,2
2025-02-03;22:40;-0,096;;;;;64;1,7
2025-02-03;22:50;-0,073;;;;;47;1,3
2025-02-03;23:00;-0,061;15,5;12,8;65;1020,9;48;1,5
2025-02-03;23:10;-0,043;;;;;30;2
2025-02-03;23:20;-0,057;;;;;39;2
2025-02-03;23:30;-0,047;;;;;55;1,4
2025-02-03;23:40;-0,072;;;;;44;0,6
2025-02-03;23:50;-0,071;;;;;16;2,4
2025-02-04;00:00;-0,055;15,6;12,4;66;1021,1;34;2,6
2025-02-04;00:10;-0,032;;;;;57;2,6
2025-02-04;00:20;-0,028;;;;;54;2,1
2025-02-04;00:30;-0,084;;;;;35;1,9
2025-02-04;00:40;-0,048;;;;;56;1,6
2025-02-04;00:50;-0,083;;;;;61;1,9
2025-02-04;01:00;-0,056;15,6;11,7;66;1021,4;43;2,8
2025-02-04;01:10;-0,075;;;;;32;2,3
2025-02-04;01:20;-0,06;;;;;11;1,9
2025-02-04;01:30;-0,106;;;;;21;2,1
2025-02-04;01:40;-0,118;;;;;35;1,9
2025-02-04;01:50;-0,119;;;;;42;2,9
2025-02-04;02:00;-0,144;15,7;11,4;67;1021,7;49;3,5
2025-02-04;02:10;-0,175;;;;;49;3,4
2025-02-04;02:20;-0,152;;;;;48;3,5
2025-02-04;02:30;-0,158;;;;;43;3,1
2025-02-04;02:40;-0,207;;;;;34;2,5
2025-02-04;02:50;-0,212;;;;;32;2,8
2025-02-04;03:00;-0,219;15,8;11,3;67;1022;38;3
2025-02-04;03:10;-0,218;;;;;35;2,6
2025-02-04;03:20;-0,23;;;;;31;2,9
2025-02-04;03:30;-0,249;;;;;42;2,1
2025-02-04;03:40;-0,261;;;;;34;2
2025-02-04;03:50;-0,246;;;;;55;1,3
2025-02-04;04:00;-0,267;15,8;10,7;69;1022,4;16;1,5
2025-02-04;04:10;-0,275;;;;;11;1,6
2025-02-04;04:20;-0,292;;;;;5;1,7
2025-02-04;04:30;-0,305;;;;;9;1,5
2025-02-04;04:40;-0,293;;;;;46;1,6
2025-02-04;04:50;-0,29;;;;;33;1,6
2025-02-04;05:00;-0,282;15,6;10,3;70;1022,1;26;1,5
2025-02-04;05:10;-0,304;;;;;33;2,6
2025-02-04;05:20;-0,309;;;;;36;2,8
2025-02-04;05:30;-0,336;;;;;29;2,8
