DATA;ORA;LIVELLO IDROMETRICO;TEMPERATURA ACQUA;TEMPERATURA ARIA;UMIDITÀ RELATIVA;PRESSIONE ATMOSFERICA;DIREZIONE VENTO;VELOCITÀ VENTO
2025-02-04;15:00;0,172;14,8;14,7;75;1023,6;335;3,8
2025-02-04;15:10;0,171;;;;;335;3,6
2025-02-04;15:20;0,158;;;;;307;3,5
2025-02-04;15:30;0,153;;;;;308;3,6
2025-02-04;15:40;0,15;;;;;322;3,3
2025-02-04;15:50;0,138;;;;;322;2,4
2025-02-04;16:00;0,112;14,8;14,6;77;1023,7;313;2,6
2025-02-04;16:10;0,127;;;;;315;2,3
2025-02-04;16:20;0,119;;;;;315;1,8
2025-02-04;16:30;0,088;;;;;312;1,6
2025-02-04;16:40;0,094;;;;;300;1,1
2025-02-04;16:50;0,087;;;;;321;1,4
2025-02-04;17:00;0,07;14,8;14,3;79;1024,2;321;1,1
2025-02-04;17:10;0,068;;;;;323;1
2025-02-04;17:20;0,055;;;;;323;0,8
2025-02-04;17:30;0,06;;;;;333;0,8
2025-02-04;17:40;0,049;;;;;293;0,6
2025-02-04;17:50;0,058;;;;;249;0,4
2025-02-04;18:00;0,055;14,8;14;80;1024,9;210;0,6
2025-02-04;18:10;0,031;;;;;208;0,5
2025-02-04;18:20;0,04;;;;;192;0,5
2025-02-04;18:30;0,044;;;;;220;1,1
2025-02-04;18:40;0,03;;;;;256;0,8
2025-02-04;18:50;0,039;;;;;250;1,2
2025-02-04;19:00;0,028;14,8;13,8;81;1025,4;247;1
2025-02-04;19:10;0,029;;;;;249;1
2025-02-04;19:20;0,031;;;;;247;1
2025-02-04;19:30;0,006;;;;;232;1,7
2025-02-04;19:40;0,033;;;;;248;1,8
2025-02-04;19:50;0,045;;;;;251;1,7
2025-02-04;20:00;0,022;14,8;13,1;83;1025,6;248;1,6
2025-02-04;20:10;0,042;;;;;255;1,2
2025-02-04;20:20;0,045;;;;;248;1,7
2025-02-04;20:30;0,052;;;;;242;2,4
2025-02-04;20:40;0,048;;;;;241;2,1
2025-02-04;20:50;0,056;;;;;244;1,7
2025-02-04;21:00;0,076;14,8;12,5;83;1026;247;1,4
2025-02-04;21:10;0,061;;;;;259;0,9
2025-02-04;21:20;0,096;;;;;257;1,4
2025-02-04;21:30;0,085;;;;;252;1,6
2025-02-04;21:40;0,101;;;;;250;1,3
2025-02-04;21:50;0,105;;;;;247;1,3
2025-02-04;22:00;0,115;14,8;12,1;83;1026,1;253;1,9
2025-02-04;22:10;0,115;;;;;258;1,5
2025-02-04;22:20;0,121;;;;;252;1,5
2025-02-04;22:30;0,138;;;;;251;1,5
2025-02-04;22:40;0,146;;;;;254;1,2
2025-02-04;22:50;0,142;;;;;254;1,4
2025-02-04;23:00;0,167;14,7;11,8;82;1026,5;253;1,3
2025-02-04;23:10;0,168;;;;;257;1,5
2025-02-04;23:20;0,169;;;;;246;1,5
2025-02-04;23:30;0,179;;;;;244;1,6
2025-02-04;23:40;0,199;;;;;241;2
2025-02-04;23:50;0,186;;;;;247;1,7
2025-02-05;00:00;0,216;14,7;11,5;81;1026,5;247;1,6
2025-02-05;00:10;0,2;;;;;240;1,3
2025-02-05;00:20;0,218;;;;;245;1,3
2025-02-05;00:30;0,208;;;;;247;1,8
2025-02-05;00:40;0,219;;;;;247;1,4
2025-02-05;00:50;0,214;;;;;243;1,5
2025-02-05;01:00;0,209;14,6;12;80;1026,7;251;1,4
2025-02-05;01:10;0,208;;;;;255;1,4
2025-02-05;01:20;0,204;;;;;249;1,2
2025-02-05;01:30;0,207;;;;;242;1,5
2025-02-05;01:40;0,192;;;;;244;2
2025-02-05;01:50;0,194;;;;;250;1,5
2025-02-05;02:00;0,193;14,6;12,2;78;1026,9;247;1,4
2025-02-05;02:10;0,179;;;;;249;1,4
2025-02-05;02:20;0,17;;;;;262;1,3
2025-02-05;02:30;0,167;;;;;283;0,9
2025-02-05;02:40;0,152;;;;;248;1,3
2025-02-05;02:50;0,151;;;;;248;1,4
2025-02-05;03:00;0,137;14,6;11,8;80;1026,8;250;0,9
2025-02-05;03:10;0,135;;;;;262;0,8
2025-02-05;03:20;0,115;;;;;248;1
2025-02-05;03:30;0,114;;;;;251;1,1
2025-02-05;03:40;0,094;;;;;253;1,3
2025-02-05;03:50;0,088;;;;;246;1,6
2025-02-05;04:00;0,084;14,6;12,2;82;1027;245;1,8
2025-02-05;04:10;0,075;;;;;239;1,9
2025-02-05;04:20;0,067;;;;;244;2
2025-02-05;04:30;0,053;;;;;238;2,3
2025-02-05;04:40;0,06;;;;;240;2,6
2025-02-05;04:50;0,049;;;;;236;2,2
2025-02-05;05:00;0,047;14,6;12,1;79;1027,3;238;1,7
2025-02-05;05:10;0,036;;;;;244;1,7
2025-02-05;05:20;0,036;;;;;246;1,5
2025-02-05;05:30;0,023;;;;;250;1,4
2025-02-05;05:40;0,037;;;;;251;1,6
2025-02-05;05:50;0,013;;;;;259;1,4
2025-02-05;06:00;0,004;14,6;12,3;78;1027,8;306;1
2025-02-05;06:10;-0,001;;;;;268;0,9
2025-02-05;06:20;0,006;;;;;248;1,5
2025-02-05;06:30;0,021;;;;;253;1,3
2025-02-05;06:40;0,005;;;;;251;1,4
2025-02-05;06:50;0,017;;;;;249;1,3
2025-02-05;07:00;0,023;14,6;12,6;79;1028,2;245;1,3
2025-02-05;07:10;0,042;;;;;260;1,5
2025-02-05;07:20;0,013;;;;;253;1,4
2025-02-05;07:30;0,056;;;;;253;1,4
2025-02-05;07:40;0,026;;;;;244;1,4
2025-02-05;07:50;0,042;;;;;241;1,5
2025-02-05;08:00;0,055;14,6;14,6;76;1028,6;240;1,3
2025-02-05;08:10;0,041;;;;;235;0,8
2025-02-05;08:20;0,059;;;;;221;0,9
2025-02-05;08:30;0,06;;;;;229;0,8
2025-02-05;08:40;0,065;;;;;111;1
2025-02-05;08:50;0,071;;;;;146;1,4
2025-02-05;09:00;0,086;14,6;15,9;73;1028,8;100;0,9
2025-02-05;09:10;0,087;;;;;108;1,4
