DATA;ORA;LIVELLO IDROMETRICO;TEMPERATURA ACQUA;TEMPERATURA ARIA;UMIDITÀ RELATIVA;PRESSIONE ATMOSFERICA;DIREZIONE VENTO;VELOCITÀ VENTO
2025-02-02;15:00;-0,428;15,4;15,6;66;1012,6;61;5,8
2025-02-02;15:10;-0,428;;;;;60;5,9
2025-02-02;15:20;-0,453;;;;;60;5,7
2025-02-02;15:30;-0,456;;;;;60;6
2025-02-02;15:40;-0,462;;;;;62;5,6
2025-02-02;15:50;-0,474;;;;;63;5,4
2025-02-02;16:00;-0,487;15,6;15,7;66;1012,5;57;6,3
2025-02-02;16:10;-0,481;;;;;57;6,1
2025-02-02;16:20;-0,49;;;;;57;6,5
2025-02-02;16:30;-0,505;;;;;59;6
2025-02-02;16:40;-0,502;;;;;65;5,3
2025-02-02;16:50;-0,508;;;;;62;5,2
2025-02-02;17:00;-0,508;15,7;15,7;64;1012,7;62;5,4
2025-02-02;17:10;-0,502;;;;;57;5,8
2025-02-02;17:20;-0,493;;;;;59;5,3
2025-02-02;17:30;-0,505;;;;;66;4,7
2025-02-02;17:40;-0,505;;;;;59;5,8
2025-02-02;17:50;-0,505;;;;;61;5,8
2025-02-02;18:00;-0,496;15,8;15,5;66;1013;60;5,5
2025-02-02;18:10;-0,493;;;;;62;5,4
2025-02-02;18:20;-0,499;;;;;58;5,4
2025-02-02;18:30;-0,477;;;;;59;5,6
2025-02-02;18:40;-0,474;;;;;55;6,3
2025-02-02;18:50;-0,459;;;;;55;6,6
2025-02-02;19:00;-0,446;16;15,2;66;1013,3;56;6,4
2025-02-02;19:10;-0,45;;;;;53;6,9
2025-02-02;19:20;-0,431;;;;;57;6,8
2025-02-02;19:30;-0,422;;;;;56;7,5
2025-02-02;19:40;-0,415;;;;;53;7,9
2025-02-02;19:50;-0,4;;;;;51;7,7
2025-02-02;20:00;-0,397;16;15,1;66;1013,7;53;7,6
2025-02-02;20:10;-0,384;;;;;54;7,9
2025-02-02;20:20;-0,363;;;;;53;7,6
2025-02-02;20:30;-0,357;;;;;56;7,4
2025-02-02;20:40;-0,35;;;;;60;7,2
2025-02-02;20:50;-0,329;;;;;60;7,3
2025-02-02;21:00;-0,319;16,1;14,9;66;1014,1;61;6,8
2025-02-02;21:10;-0,316;;;;;58;6,9
2025-02-02;21:20;-0,291;;;;;56;6,9
2025-02-02;21:30;-0,298;;;;;61;6,6
2025-02-02;21:40;-0,285;;;;;60;6,5
2025-02-02;21:50;-0,27;;;;;61;6,1
2025-02-02;22:00;-0,26;16;14,8;66;1014,2;59;6,8
2025-02-02;22:10;-0,254;;;;;58;6,7
2025-02-02;22:20;-0,245;;;;;60;6,7
2025-02-02;22:30;-0,248;;;;;60;6,6
2025-02-02;22:40;-0,245;;;;;58;6,7
2025-02-02;22:50;-0,233;;;;;57;6,5
2025-02-02;23:00;-0,239;16,1;14,8;67;1014,2;58;6,4
2025-02-02;23:10;-0,233;;;;;56;6,9
2025-02-02;23:20;-0,239;;;;;52;7,3
2025-02-02;23:30;-0,236;;;;;54;7,1
2025-02-02;23:40;-0,242;;;;;52;7,2
2025-02-02;23:50;-0,251;;;;;53;6,9
2025-02-03;00:00;-0,254;16,1;14,9;66;1014,3;54;6,9
2025-02-03;00:10;-0,257;;;;;53;6,2
2025-02-03;00:20;-0,27;;;;;54;5,9
2025-02-03;00:30;-0,27;;;;;54;5,9
2025-02-03;00:40;-0,291;;;;;52;5,2
2025-02-03;00:50;-0,301;;;;;54;5,5
2025-02-03;01:00;-0,307;16,1;14,8;66;1014,2;53;5,6
2025-02-03;01:10;-0,322;;;;;52;5,7
2025-02-03;01:20;-0,329;;;;;52;5,4
2025-02-03;01:30;-0,35;;;;;52;5,8
2025-02-03;01:40;-0,363;;;;;51;5,7
2025-02-03;01:50;-0,375;;;;;52;6,5
2025-02-03;02:00;-0,391;16,1;14,8;64;1014,3;55;6,6
2025-02-03;02:10;-0,403;;;;;51;6,9
2025-02-03;02:20;-0,422;;;;;53;6,5
2025-02-03;02:30;-0,425;;;;;53;6,1
2025-02-03;02:40;-0,428;;;;;53;5,7
2025-02-03;02:50;-0,44;;;;;54;5,5
2025-02-03;03:00;-0,462;16,1;14,7;65;1014,1;54;5,3
2025-02-03;03:10;-0,471;;;;;54;5,3
2025-02-03;03:20;-0,484;;;;;54;5,4
2025-02-03;03:30;-0,493;;;;;55;5,3
2025-02-03;03:40;-0,502;;;;;54;5,4
2025-02-03;03:50;-0,508;;;;;52;5,4
2025-02-03;04:00;-0,515;16,1;14,5;70;1014,1;53;5,5
2025-02-03;04:10;-0,512;;;;;53;5,5
2025-02-03;04:20;-0,518;;;;;53;5,5
2025-02-03;04:30;-0,521;;;;;51;5,3
2025-02-03;04:40;-0,515;;;;;49;5,1
