DATA;ORA;LIVELLO IDROMETRICO;TEMPERATURA ACQUA;TEMPERATURA ARIA;UMIDITÀ RELATIVA;PRESSIONE ATMOSFERICA;DIREZIONE VENTO;VELOCITÀ VENTO
2025-02-04;15:00;-0,067;18,1;15,8;45;1023,5;224;1,9
2025-02-04;15:10;-0,074;;15,2;50;;225;1,9
2025-02-04;15:20;-0,081;;15;50;;225;2
2025-02-04;15:30;-0,082;;14,7;50;;215;2,3
2025-02-04;15:40;-0,093;;14,8;49;;208;1,9
2025-02-04;15:50;-0,11;;15;49;;198;1,6
2025-02-04;16:00;-0,123;18,1;15;50;1023,7;191;1,8
2025-02-04;16:10;-0,133;;14,8;51;;182;1,2
2025-02-04;16:20;-0,14;;14,6;51;;179;1,1
2025-02-04;16:30;-0,145;;14,3;54;;131;0,5
2025-02-04;16:40;-0,15;;13,4;56;;41;0,8
2025-02-04;16:50;-0,153;;12,8;57;;31;1
2025-02-04;17:00;-0,156;18,1;13,9;54;1024;36;1,2
2025-02-04;17:10;-0,161;;11,7;62;;47;1,1
2025-02-04;17:20;-0,166;;11,3;63;;45;1,2
2025-02-04;17:30;-0,172;;11,1;63;;59;1
2025-02-04;17:40;-0,175;;10,9;64;;52;1
2025-02-04;17:50;-0,18;;10,3;64;;31;1,4
2025-02-04;18:00;-0,183;18,1;11,1;63;1024,7;50;1,2
2025-02-04;18:10;-0,186;;9,9;56;;44;1,2
2025-02-04;18:20;-0,186;;9,5;57;;35;1,6
2025-02-04;18:30;-0,186;;9,9;53;;46;1,6
2025-02-04;18:40;-0,186;;9,3;52;;31;2,1
2025-02-04;18:50;-0,186;;8,8;54;;34;2,2
2025-02-04;19:00;-0,186;18,1;9,5;55;1025,2;31;2,7
2025-02-04;19:10;-0,187;;8,9;53;;34;2,6
2025-02-04;19:20;-0,186;;8,9;54;;35;2,3
2025-02-04;19:30;-0,187;;8,8;55;;38;2,1
2025-02-04;19:40;-0,186;;8,5;56;;34;2,1
2025-02-04;19:50;-0,187;;9,7;51;;45;2
2025-02-04;20:00;-0,186;18,1;9,1;53;1025,4;47;2,3
2025-02-04;20:10;-0,187;;10,2;50;;39;2
2025-02-04;20:20;-0,186;;9,9;51;;40;1,7
2025-02-04;20:30;-0,187;;9,2;54;;32;1,5
2025-02-04;20:40;-0,186;;9,2;53;;41;2
2025-02-04;20:50;-0,186;;9,4;52;;65;1,3
2025-02-04;21:00;-0,186;18,1;9,6;52;1025,8;29;0,8
2025-02-04;21:10;-0,186;;9,1;53;;64;1,2
2025-02-04;21:20;-0,186;;8,7;54;;51;1,3
2025-02-04;21:30;-0,182;;8,1;57;;51;1
2025-02-04;21:40;-0,177;;8,2;55;;53;1,4
2025-02-04;21:50;-0,172;;8,3;55;;73;1,4
2025-02-04;22:00;-0,166;18,1;8,5;55;1026,1;109;1,2
2025-02-04;22:10;-0,159;;7,9;57;;33;0,9
2025-02-04;22:20;-0,145;;7,8;58;;51;1
2025-02-04;22:30;-0,138;;7,6;60;;70;0,9
2025-02-04;22:40;-0,128;;6,9;64;;83;0,8
2025-02-04;22:50;-0,117;;7,6;63;;81;1,1
2025-02-04;23:00;-0,108;18,1;7,7;60;1026,5;104;1,6
2025-02-04;23:10;-0,098;;8,4;60;;99;1,6
2025-02-04;23:20;-0,093;;7,8;63;;82;1,3
2025-02-04;23:30;-0,085;;7,6;64;;79;1,3
2025-02-04;23:40;-0,074;;7,5;66;;74;1,2
2025-02-04;23:50;-0,075;;7,5;69;;72;1,2
2025-02-05;00:00;-0,067;18,1;7,7;64;1026,8;68;1,2
2025-02-05;00:10;-0,064;;7,3;69;;69;1,3
2025-02-05;00:20;-0,058;;8;65;;78;1,6
2025-02-05;00:30;-0,054;;8,2;64;;82;1,7
2025-02-05;00:40;-0,048;;8,6;63;;86;1,9
2025-02-05;00:50;-0,043;;8,6;65;;91;1,9
2025-02-05;01:00;-0,047;18,1;8;66;1026,9;86;1,2
2025-02-05;01:10;-0,042;;7;73;;59;1
2025-02-05;01:20;-0,049;;6,5;74;;66;1,1
2025-02-05;01:30;-0,054;;6,5;75;;67;1,3
2025-02-05;01:40;-0,06;;6,3;76;;52;1,2
2025-02-05;01:50;-0,055;;6,2;78;;48;1,2
2025-02-05;02:00;-0,062;18,1;6,6;75;1027,2;51;1,2
2025-02-05;02:10;-0,066;;6,6;77;;58;1,2
2025-02-05;02:20;-0,072;;6,4;78;;58;0,9
2025-02-05;02:30;-0,08;;6,1;78;;55;0,9
2025-02-05;02:40;-0,089;;5,8;79;;66;0,8
2025-02-05;02:50;-0,096;;5,5;80;;50;0,8
2025-02-05;03:00;-0,101;18,1;6,1;78;1027,3;33;0,7
2025-02-05;03:10;-0,106;;5,9;81;;59;1,1
2025-02-05;03:20;-0,115;;5,4;81;;59;1
2025-02-05;03:30;-0,121;;5,2;82;;42;1,2
2025-02-05;03:40;-0,126;;5,9;80;;58;1,1
2025-02-05;03:50;-0,135;;6;76;;65;1,1
2025-02-05;04:00;-0,14;18,1;5,7;80;1027,4;28;1,4
2025-02-05;04:10;-0,145;;5,5;78;;50;1
2025-02-05;04:20;-0,15;;5,6;79;;46;1,5
2025-02-05;04:30;-0,155;;6;77;;73;1,2
2025-02-05;04:40;-0,162;;6,2;77;;75;1,1
2025-02-05;04:50;-0,168;;5,7;78;;55;1,1
2025-02-05;05:00;-0,174;18,1;5,8;78;1027,8;65;1,1
2025-02-05;05:10;-0,18;;6,2;80;;80;1,2
2025-02-05;05:20;-0,185;;5,5;81;;66;1,2
2025-02-05;05:30;-0,186;;5,1;84;;53;1,1
2025-02-05;05:40;-0,186;;5,3;85;;55;1,1
2025-02-05;05:50;-0,187;;5,6;85;;71;0,8
2025-02-05;06:00;-0,186;18,1;5,7;83;1028,2;114;0,8
2025-02-05;06:10;-0,186;;6;84;;92;0,8
2025-02-05;06:20;-0,186;;6,3;85;;87;1,4
2025-02-05;06:30;-0,186;;6,1;85;;97;0,7
2025-02-05;06:40;-0,186;;5,7;86;;87;0,3
2025-02-05;06:50;-0,186;;5;87;;43;1
2025-02-05;07:00;-0,186;18,1;5,8;86;1028,7;39;1,7
2025-02-05;07:10;-0,186;;6,4;84;;66;1
