DATA;ORA;LIVELLO IDROMETRICO;TEMPERATURA ACQUA;TEMPERATURA ARIA;UMIDITÀ RELATIVA;PRESSIONE ATMOSFERICA;DIREZIONE VENTO;VELOCITÀ VENTO
2025-02-04;15:00;-0,112;15,5;14,7;65;1023,6;240;3,6
2025-02-04;15:10;-0,124;;;;;244;3,7
2025-02-04;15:20;-0,166;;;;;234;3,4
2025-02-04;15:30;-0,175;;;;;227;3,1
2025-02-04;15:40;-0,181;;;;;213;3
2025-02-04;15:50;-0,239;;;;;207;3
2025-02-04;16:00;-0,23;15,6;14,9;64;1023,8;204;3
2025-02-04;16:10;-0,213;;;;;181;2,8
2025-02-04;16:20;-0,19;;;;;178;2,9
2025-02-04;16:30;-0,195;;;;;195;2,4
2025-02-04;16:40;-0,225;;;;;173;1,6
2025-02-04;16:50;-0,272;;;;;73;0,8
2025-02-04;17:00;-0,244;15,6;14,1;53;1024,4;59;1,4
2025-02-04;17:10;-0,264;;;;;51;1,9
2025-02-04;17:20;-0,242;;;;;63;1,7
2025-02-04;17:30;-0,262;;;;;67;1,4
2025-02-04;17:40;-0,307;;;;;62;1,5
2025-02-04;17:50;-0,285;;;;;48;1,9
2025-02-04;18:00;-0,234;15,5;13;48;1025,2;48;2
2025-02-04;18:10;-0,267;;;;;45;2,5
2025-02-04;18:20;-0,269;;;;;53;2,6
2025-02-04;18:30;-0,277;;;;;55;3
2025-02-04;18:40;-0,29;;;;;51;3,1
2025-02-04;18:50;-0,311;;;;;56;3
2025-02-04;19:00;-0,297;15,5;11,5;55;1025,9;53;3,3
2025-02-04;19:10;-0,343;;;;;51;3,5
2025-02-04;19:20;-0,322;;;;;47;3,6
2025-02-04;19:30;-0,271;;;;;50;3,8
2025-02-04;19:40;-0,243;;;;;48;3,6
2025-02-04;19:50;-0,271;;;;;54;3,2
2025-02-04;20:00;-0,297;15,6;11;53;1026,4;45;3,5
2025-02-04;20:10;-0,279;;;;;40;3,6
2025-02-04;20:20;-0,286;;;;;37;3,6
2025-02-04;20:30;-0,251;;;;;40;4
2025-02-04;20:40;-0,279;;;;;43;3,6
2025-02-04;20:50;-0,218;;;;;38;3,4
