DATA;ORA;LIVELLO IDROMETRICO;TEMPERATURA ACQUA;TEMPERATURA ARIA;UMIDITÀ RELATIVA;PRESSIONE ATMOSFERICA;DIREZIONE VENTO;VELOCITÀ VENTO
2025-02-02;08:50;0,078;;;;;92;2,9
2025-02-02;09:00;0,104;10,5;;;1020,8;99;2,5
2025-02-02;09:10;0,129;;;;;99;1,7
2025-02-02;09:20;0,148;;;;;113;1,1
2025-02-02;09:30;0,164;;;;;93;0,9
2025-02-02;09:40;0,185;;;;;310;0,8
2025-02-02;09:50;0,204;;;;;305;0,8
2025-02-02;10:00;0,222;10,4;;;1020,5;303;1,8
2025-02-02;10:10;0,231;;;;;295;2,3
2025-02-02;10:20;0,237;;;;;267;1,6
2025-02-02;10:30;0,244;;;;;263;0,8
2025-02-02;10:40;0,249;;;;;284;1
2025-02-02;10:50;0,251;;;;;280;1,7
2025-02-02;11:00;0,252;10,4;;;1020,5;286;2,1
2025-02-02;11:10;0,241;;;;;290;2,8
2025-02-02;11:20;0,226;;;;;269;3,3
2025-02-02;11:30;0,209;;;;;273;3,3
2025-02-02;11:40;0,185;;;;;289;2,9
2025-02-02;11:50;0,162;;;;;252;1,6
2025-02-02;12:00;0,138;10,4;;;1020;219;0,7
2025-02-02;12:10;0,11;;;;;203;1,3
2025-02-02;12:20;0,08;;;;;239;0,9
2025-02-02;12:30;0,045;;;;;235;0,5
2025-02-02;12:40;0,018;;;;;214;0,6
2025-02-02;12:50;-0,003;;;;;211;0,4
2025-02-02;13:00;-0,042;10,4;;;1019,5;183;0,8
2025-02-02;13:10;-0,079;;;;;183;1,1
2025-02-02;13:20;-0,116;;;;;95;1
2025-02-02;13:30;-0,144;;;;;227;1,5
2025-02-02;13:40;-0,183;;;;;219;1,4
2025-02-02;13:50;-0,216;;;;;73;2,6
2025-02-02;14:00;-0,252;10,5;;;1019,1;8;1,5
2025-02-02;14:10;-0,284;;;;;357;1,2
2025-02-02;14:20;-0,313;;;;;47;2,6
2025-02-02;14:30;-0,337;;;;;57;2,8
2025-02-02;14:40;-0,358;;;;;52;2,4
2025-02-02;14:50;-0,385;;;;;34;2,4
2025-02-02;15:00;-0,407;10,4;;;1019;37;3,3
2025-02-02;15:10;-0,426;;;;;42;4,3
2025-02-02;15:20;-0,44;;;;;42;4,7
2025-02-02;15:30;-0,45;;;;;42;4,8
2025-02-02;15:40;-0,469;;;;;46;5,4
2025-02-02;15:50;-0,482;;;;;50;6,6
2025-02-02;16:00;-0,494;10,4;;;1019;53;6,9
2025-02-02;16:10;-0,511;;;;;67;7,1
2025-02-02;16:20;-0,52;;;;;68;7,5
2025-02-02;16:30;-0,518;;;;;68;7,2
2025-02-02;16:40;-0,522;;;;;71;7,1
2025-02-02;16:50;-0,522;;;;;72;7,4
2025-02-02;17:00;-0,52;10,4;;;1019,3;76;7,3
2025-02-02;17:10;-0,506;;;;;76;8
2025-02-02;17:20;-0,492;;;;;75;6,9
2025-02-02;17:30;-0,46;;;;;74;7,5
2025-02-02;17:40;-0,44;;;;;74;6,9
2025-02-02;17:50;-0,41;;;;;75;7,3
2025-02-02;18:00;-0,389;10,4;;;1019,7;77;7,1
2025-02-02;18:10;-0,354;;;;;79;7,6
2025-02-02;18:20;-0,324;;;;;87;5
2025-02-02;18:30;-0,295;;;;;94;4,4
2025-02-02;18:40;-0,262;;;;;100;4,6
2025-02-02;18:50;-0,23;;;;;88;5,1
2025-02-02;19:00;-0,197;10,4;;;1020,2;82;6,1
2025-02-02;19:10;-0,166;;;;;83;6,9
2025-02-02;19:20;-0,131;;;;;94;5,8
2025-02-02;19:30;-0,095;;;;;98;5,4
2025-02-02;19:40;-0,063;;;;;107;6
2025-02-02;19:50;-0,026;;;;;94;6,4
2025-02-02;20:00;0,009;10,4;;;1020,6;75;8,1
2025-02-02;20:10;0,048;;;;;74;8,7
2025-02-02;20:20;0,086;;;;;71;8,2
2025-02-02;20:30;0,116;;;;;67;8,6
2025-02-02;20:40;0,142;;;;;68;8,9
2025-02-02;20:50;0,177;;;;;65;9,7
2025-02-02;21:00;0,214;10,3;;;1020,6;60;9,3
2025-02-02;21:10;0,248;;;;;61;9
2025-02-02;21:20;0,272;;;;;69;8,5
2025-02-02;21:30;0,287;;;;;70;9,5
2025-02-02;21:40;0,309;;;;;68;9,5
2025-02-02;21:50;0,329;;;;;70;9,4
2025-02-02;22:00;0,353;10,3;;;1020,7;73;8,7
2025-02-02;22:10;0,38;;;;;72;7,7
2025-02-02;22:20;0,396;;;;;70;8,1
2025-02-02;22:30;0,405;;;;;75;10,4
2025-02-02;22:40;0,414;;;;;75;9,6
2025-02-02;22:50;0,427;;;;;76;10,2
2025-02-02;23:00;0,443;10,3;;;1020,9;75;11,4
2025-02-02;23:10;0,443;;;;;75;11,3
2025-02-02;23:20;0,44;;;;;77;13
2025-02-02;23:30;0,443;;;;;80;12,3
2025-02-02;23:40;0,443;;;;;74;12,8
2025-02-02;23:50;0,44;;;;;76;13,9
2025-02-03;00:00;0,422;10,3;;;1020,7;75;13,4
2025-02-03;00:10;0,416;;;;;73;11,4
2025-02-03;00:20;0,399;;;;;77;10,7
2025-02-03;00:30;0,388;;;;;81;9,3
2025-02-03;00:40;0,373;;;;;85;9
2025-02-03;00:50;0,349;;;;;86;8,3
2025-02-03;01:00;0,333;10,3;;;1020,6;94;7,2
2025-02-03;01:10;0,311;;;;;86;7,3
2025-02-03;01:20;0,285;;;;;85;7,9
2025-02-03;01:30;0,264;;;;;86;9,6
2025-02-03;01:40;0,24;;;;;83;9,8
2025-02-03;01:50;0,226;;;;;79;9,8
2025-02-03;02:00;0,201;10,3;;;1020,6;73;10,3
2025-02-03;02:10;0,166;;;;;77;10,9
2025-02-03;02:20;0,131;;;;;79;10
2025-02-03;02:30;0,106;;;;;82;10,6
2025-02-03;02:40;0,081;;;;;86;9
2025-02-03;02:50;0,048;;;;;93;7,5
2025-02-03;03:00;0,018;10,3;;;1020,4;90;6,8
2025-02-03;03:10;-0,011;;;;;80;6,7
2025-02-03;03:20;-0,039;;;;;74;6,8
2025-02-03;03:30;-0,071;;;;;76;7,5
2025-02-03;03:40;-0,099;;;;;80;6,3
2025-02-03;03:50;-0,124;;;;;98;7
2025-02-03;04:00;-0,146;10,3;;;1020,7;108;7,4
