DATA;ORA;LIVELLO IDROMETRICO;TEMPERATURA ACQUA;TEMPERATURA ARIA;UMIDITÀ RELATIVA;PRESSIONE ATMOSFERICA;DIREZIONE VENTO;VELOCITÀ VENTO
2025-02-02;08:50;0,209;;;;;20;4,6
2025-02-02;09:00;0,229;9,5;8,2;80;1021,4;15;4,8
2025-02-02;09:10;0,237;;;;;15;4,8
2025-02-02;09:20;0,256;;;;;19;4,1
2025-02-02;09:30;0,29;;;;;12;4,5
2025-02-02;09:40;0,317;;;;;9;4,1
2025-02-02;09:50;0,333;;;;;8;4,1
2025-02-02;10:00;0,336;9,5;9,2;77;1021,3;20;4,5
2025-02-02;10:10;0,346;;;;;24;4,7
2025-02-02;10:20;0,357;;;;;35;4
2025-02-02;10:30;0,362;;;;;30;3,9
2025-02-02;10:40;0,37;;;;;26;4
2025-02-02;10:50;0,38;;;;;33;4,1
2025-02-02;11:00;0,381;9,5;10,3;74;1021,1;24;3,9
2025-02-02;11:10;0,374;;;;;26;3,9
2025-02-02;11:20;0,38;;;;;23;3,9
2025-02-02;11:30;0,376;;;;;27;3,8
2025-02-02;11:40;0,364;;;;;27;3,5
2025-02-02;11:50;0,35;;;;;36;3,5
2025-02-02;12:00;0,337;9,5;11,2;72;1020,3;20;3,7
2025-02-02;12:10;0,318;;;;;22;4,3
2025-02-02;12:20;0,307;;;;;30;4,4
2025-02-02;12:30;0,304;;;;;50;4,1
2025-02-02;12:40;0,28;;;;;69;3,6
2025-02-02;12:50;0,252;;;;;73;3,1
2025-02-02;13:00;0,23;9,5;11;75;1019,9;77;3
2025-02-02;13:10;0,195;;;;;64;3,3
2025-02-02;13:20;0,166;;;;;63;2
2025-02-02;13:30;0,143;;;;;62;1,8
2025-02-02;13:40;0,107;;;;;57;1,8
2025-02-02;13:50;0,075;;;;;49;2,3
2025-02-02;14:00;0,048;9,3;12,2;74;1019,4;32;2,7
2025-02-02;14:10;0,008;;;;;46;2,2
